#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                6402.101350581134    All      1.1220249563837763        -0.004852299178459418     0.9502371713975083         -0.3246562746191457        
Zeropoint     AB|PS|PS_z                7357.576608243209    All      0.4221851679684596        -0.06461354167122124      -0.13171115186692284       -0.16444401871187272       
Zeropoint     AB|PS|PS_g                4162.174013447598    All      -0.896194047354887        0.6771579968711805        -0.07506366902061135       0.5091427757557797         
Zeropoint     AB|PS|PS_r                5285.6784440797      All      0.34867776911463744       0.3905578681786537        -0.7453689832399496        -0.019620668286598336      
Check         All|All|All               All                  All      0.9966938461119867        0.9982500242001535        -0.0019066327299754882     0.00042181413816291813     
Lambda        AB|PS|PS_i                6402.101350581134    All      -0.0004092213591536539    1.2518382694996552e-05    -0.00020466676742997262    0.00012824117091555186     
Lambda        AB|PS|PS_z                7357.576608243209    All      -0.0002558139821865562    -3.558210538260142e-05    -0.0010959012407057165     2.283172860823179e-05      
Lambda        AB|PS|PS_g                4162.174013447598    All      -0.0006461511781623882    0.00031816191702268345    -0.0013114492433221993     0.00025558454359932587     
Lambda        AB|PS|PS_r                5285.6784440797      All      4.664829707967288e-05     6.264065114630763e-05     -0.00044692549845545305    -1.4734996489173397e-05    
MWEBV         All|All|All               All                  All      -0.5470048540141943       -3.350200510947765        0.000651810823712462       -0.9130639605376946        
Redshift      All|All|All               All                  All      6.900696469446814         0.2983790098749495        5.278213975316662          -1.9150495586167693        
