#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3072.7724736929945    All      -0.06406850367325968      0.05098765256033033       0.23243450067959026        0.04785005955266902       
Zeropoint     AB|SDSS|SDSS_i            6402.645480271813     All      0.9567529136767153        -0.10831142818172879      -0.7574044920218181        -0.3807259795652877       
Zeropoint     AB|SDSS|SDSS_g            4040.534939158895     All      -1.068076169770771        0.611783221214246         -0.4954802800117508        0.5250744601379177        
Zeropoint     AB|SDSS|SDSS_z            7612.211760142549     All      0.12710525249777263       -0.009895266588166862     0.034335799657136956       -0.0430933272094175       
Zeropoint     AB|SDSS|SDSS_r            5279.771274421276     All      1.0422149667466876        0.45573022987550615       0.9920945335144649         -0.14676475106830608      
Check         All|All|All               All                   All      0.9939284594771447        1.0002944088801868        0.005980061817623117       0.0023404618475754424     
Lambda        AB|SDSS|SDSS_u            3072.7724736929945    All      -5.079599306152378e-05    2.906533303892952e-05     0.00010781316841633487     3.0824667808954784e-05    
Lambda        AB|SDSS|SDSS_i            6402.645480271813     All      -0.0002096556091831929    2.275916914807038e-05     -2.7091288918879074e-05    7.449617972292406e-05     
Lambda        AB|SDSS|SDSS_g            4040.534939158895     All      -0.001074941512013649     0.00043921861055377074    -0.0014394224034747403     0.00042897695546950497    
Lambda        AB|SDSS|SDSS_z            7612.211760142549     All      -9.84543749295516e-06     -9.75929432130504e-07     -2.5387035301472367e-05    1.7561837864895578e-06    
Lambda        AB|SDSS|SDSS_r            5279.771274421276     All      0.00044782743551234616    0.00013308985693600894    1.5491564534524997e-05     -0.0001018290665260936    
MWEBV         All|All|All               All                   All      -0.6491241294185741       -3.3351014816078717       0.047159748663860857       -0.872806666652231        
Redshift      All|All|All               All                   All      6.792134102730285         -0.9340921518813161       -2.3996008757508513        -2.623769242537286        
