#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3072.7724736929945    All      -0.033751260102651566      0.021702750940910676       0.08195050813364989       0.021720270572596834      
Zeropoint     AB|SDSS|SDSS_i            6402.645480271813     All      0.9405737658635942         -0.07780668912591437       -0.7080514644220484       -0.36331710280629614      
Zeropoint     AB|SDSS|SDSS_g            4040.534939158895     All      -1.0557295197131882        0.5697884346149706         -0.815216075583825        0.493105326375627         
Zeropoint     AB|SDSS|SDSS_z            7612.211760142549     All      0.08108344548288642        -0.00023623295373198516    0.07490849516381792       -0.023145672507874703     
Zeropoint     AB|SDSS|SDSS_r            5279.771274421276     All      1.0625235100119637         0.48593348692982374        1.370431681530402         -0.12665826798451948      
Check         All|All|All               All                   All      0.9946999415426043         0.9993817504060587         0.004023144821996505      0.0017045536495335079     
Lambda        AB|SDSS|SDSS_u            3072.7724736929945    All      -3.484027996232679e-05     2.284062878548453e-05      8.87912846549738e-05      2.2750916855225646e-05    
Lambda        AB|SDSS|SDSS_i            6402.645480271813     All      -0.00026667599607844674    1.2619524615924904e-05     -8.519142968539143e-05    8.717403740308568e-05     
Lambda        AB|SDSS|SDSS_g            4040.534939158895     All      -0.0010751487364885743     0.0004308475205636522      -0.001629093943172939     0.00041785354620115113    
Lambda        AB|SDSS|SDSS_z            7612.211760142549     All      -3.5533480850801507e-06    1.1861863786761227e-07     -9.97718901972199e-07     1.151556753543183e-06     
Lambda        AB|SDSS|SDSS_r            5279.771274421276     All      0.0004190174809401062      0.00015040509052673416     0.0001758471923420623     -7.964864008550799e-05    
MWEBV         All|All|All               All                   All      -0.6458498219145952        -3.314361482920347         0.23360720956355027       -0.8587972225718391       
Redshift      All|All|All               All                   All      6.4681405683250555         -1.013123329225607         -3.5617719921588846       -2.5958393030867852       
