#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5308.737621179845     All      0.6404926139411946         0.21672406194239713       -0.0795540346176928        -0.14158549014378546      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4747.3733410568375    All      -0.2544316553753386        0.46607897869668236       0.1570036512877819         0.24170036947832152       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4345.794459631709     All      -0.49021375201608536       0.3041857479021637        -0.12354909949405866       0.25324862322070457       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6145.252482465251     All      1.0785091961710382         -0.059745923998111294     -0.047155597903786726      -0.3728714778768627       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7513.512135198445     All      0.33145431428435346        -0.04485729866390287      0.16356065175852386        -0.11527811194050115      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3551.4881164533663    All      -0.3119449037597329        0.11576755651558912       -0.06973758576591838       0.1362079514740688        
Check         All|All|All                              All                   All      0.9938658132454296         0.9981531223948181        0.0005679852648491912      0.0014218642119455949     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5308.737621179845     All      0.00016138356729529477     5.9978299039053306e-05    -0.0012054510312616278     -8.682477509416433e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4747.3733410568375    All      -0.00017059192602126232    -4.820785767497962e-05    -0.0008828275500123509     4.6797849986665054e-07    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4345.794459631709     All      -0.00033218036812750115    0.00011316764271444232    -0.0006124164656333244     0.00011773516451145865    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6145.252482465251     All      -0.00016201437059775356    -6.551857969510122e-06    -0.0005393499971602478     2.6570541699442834e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7513.512135198445     All      -5.7454477998713374e-05    3.3724649145325744e-06    -0.00018902368283147747    1.1378077643431118e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3551.4881164533663    All      -0.0005211157234847109     0.0001376786154426277     -0.0002142012929212552     0.00020503216996649076    
MWEBV         All|All|All                              All                   All      -1.0679850569352545        -3.972765511718368        -0.011462711172080513      -0.9466940867145567       
Redshift      All|All|All                              All                   All      6.536876561329179          0.2412278298070447        10.33294787756906          -1.5895879062850728       
