#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5308.737621179845     All      0.647747188661969          0.2184565448203557         -0.2028829939474175        -0.14888782215387933      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4747.3733410568375    All      -0.20194866060961875       0.4626485786682899         0.2562688957103876         0.2279172892476325        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4345.794459631709     All      -0.4818076843270829        0.3007287041305595         -0.12281116276591231       0.24941734826016693       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6145.252482465251     All      1.03221048791627           -0.0419668269985074        0.03744097810457481        -0.3482240719591044       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7513.512135198445     All      0.2679983618608303         -0.03303655755058088       0.16107628285172426        -0.09086888229991041      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3551.4881164533663    All      -0.2883452894948954        0.10140679740402447        -0.07653699143972403       0.12353958275950414       
Check         All|All|All                              All                   All      0.9758544040074723         1.0082372404741413         0.05255500851363282        0.012893443854409409      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5308.737621179845     All      0.0001529286455173621      6.383384639810561e-05      -0.0013184523299318732     -8.785757925730396e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4747.3733410568375    All      -0.00016743193082499402    -1.0202409184862839e-05    -0.0008612529331476636     1.2781065081075329e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4345.794459631709     All      -0.00040245791221872856    0.00013135342841372126     -0.000747752504974496      0.0001405111555214801     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6145.252482465251     All      -5.0322676754691455e-05    -5.817128842451019e-06     -0.0002093170947257061     5.156060565087523e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7513.512135198445     All      -3.176040974688256e-05     1.0867209274303566e-06     -8.647374465108675e-05     6.840465034890565e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3551.4881164533663    All      -0.00045687363306037506    0.00015111588677630926     -0.00012867561922918943    0.0001922999869714285     
MWEBV         All|All|All                              All                   All      -1.0918991779121838        -3.9628397458897346        0.019167665220509722       -0.9343044292646062       
Redshift      All|All|All                              All                   All      6.213507381520998          0.018272978057432          11.245906529966598         -1.516138504514053        
