#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5477.775938258025     All      1.1450827744012972         0.29107648264385944       0.13526310170604017       -0.27214177420967767      
Zeropoint     AB|PS|PS_r                4522.540430529219     All      -0.2656412889521503        0.3850492919006854        -0.5029065299674507       0.18950892060172475       
Zeropoint     AB|PS|PS_z                6295.301167774597     All      0.7702455520533538         0.043642269675814305      0.39165173687407684       -0.21920097538299377      
Zeropoint     AB|PS|PS_g                3561.2458180838585    All      -0.6552387653061642        0.2795128321915641        -0.01825418039937965      0.30366474748632355       
Check         All|All|All               All                   All      0.9944482721963364         0.9992808764119232        0.005754128213286691      0.0018309184953768654     
Lambda        AB|PS|PS_i                5477.775938258025     All      -1.656896506334706e-05     -4.000503020534682e-05    -0.0012189285982047078    -6.202908244170838e-05    
Lambda        AB|PS|PS_r                4522.540430529219     All      -0.0003121344771866705     -0.0002570304604591469    -0.00238411133045513      -8.844274773447204e-05    
Lambda        AB|PS|PS_z                6295.301167774597     All      -0.00024747728973638773    -4.640846333004714e-05    -0.0010402024700435146    1.9075272967550195e-05    
Lambda        AB|PS|PS_g                3561.2458180838585    All      -0.0009124812908341811     0.000188048276447603      -0.0016855652577885008    0.00028325965047712036    
MWEBV         All|All|All               All                   All      -0.4830382099475523        -2.615519844996328        0.14907526555913986       -0.6879668806733463       
Redshift      All|All|All               All                   All      3.6539654465104867         0.710228580046568         1.3633915662129237        -0.8980300397044783       
