#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                5477.775938258025     All      1.1150624967976004         0.2968781074510929         -0.08273549192738254      -0.27020167809138723       
Zeropoint     AB|PS|PS_r                4522.540430529219     All      -0.3209586349345324        0.41426252941914044        -0.1762931559414968       0.23161856742335107        
Zeropoint     AB|PS|PS_z                6295.301167774597     All      0.7880884874741194         0.012754106259649234       0.2912015135056942        -0.2395569295974561        
Zeropoint     AB|PS|PS_g                3561.2458180838585    All      -0.5875526988204189        0.27505780803451785        -0.030625791066296024     0.2796139327292685         
Check         All|All|All               All                   All      0.9946396505167683         0.9989525511644004         0.0015470745705187944     0.0014738924637762718      
Lambda        AB|PS|PS_i                5477.775938258025     All      -3.9982620730252935e-06    -2.2511969032600244e-05    -0.0016936064892758818    -8.160840260272664e-05     
Lambda        AB|PS|PS_r                4522.540430529219     All      -0.00026597356424155595    -0.00020774381410255878    -0.002238542931163507     -8.092854443987076e-05     
Lambda        AB|PS|PS_z                6295.301167774597     All      5.015864072825251e-05      -2.3403935046734952e-05    -0.0004691532509150837    -4.4897905912167405e-05    
Lambda        AB|PS|PS_g                3561.2458180838585    All      -0.0009513945195842253     0.00038567836628714024     -0.0005388676498574348    0.00041148143903612283     
MWEBV         All|All|All               All                   All      -0.46404393426559576       -2.635392453081842         0.016601637582228778      -0.7065387929861501        
Redshift      All|All|All               All                   All      3.991153242813637          0.024511837097840328       2.382022143683678         -1.185766896427079         
