#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6315.939675772691     All      1.1528505754706209         0.11348904906149926        0.5862119326830117        -0.3123942969483873       
Zeropoint     AB|SDSS|SDSS_z            7509.125786272133     All      0.05940725475744039        0.0072887923966646895      -0.05475586527715626      -0.019420200620112738     
Zeropoint     AB|SDSS|SDSS_g            3985.8172707222993    All      -0.8659462908462305        0.6239819021869764         -0.33371099095127477      0.4704266408054991        
Zeropoint     AB|SDSS|SDSS_u            3031.1604228313254    All      -0.06995821669731758       0.018205619960909303       -0.0020765793525723275    0.028625193904535662      
Zeropoint     AB|SDSS|SDSS_r            5208.271639257872     All      0.7182520597959252         0.23562642667620537        -0.19302956891631418      -0.1658210697267931       
Check         All|All|All               All                   All      0.9946053824804383         0.998591790282255          0.0026389281856942226     0.0014162674147416565     
Lambda        AB|SDSS|SDSS_i            6315.939675772691     All      -0.0001475494534614076     -2.4964972208355145e-05    0.0002450240274732482     5.086409544524022e-05     
Lambda        AB|SDSS|SDSS_z            7509.125786272133     All      -3.7930398529224003e-06    3.304811932704905e-06      0.00012062552270628431    7.694966904360996e-06     
Lambda        AB|SDSS|SDSS_g            3985.8172707222993    All      -0.0007330257699472759     0.0005808015172014018      -0.0008294751884504068    0.00039094110303940455    
Lambda        AB|SDSS|SDSS_u            3031.1604228313254    All      -4.2719103609114535e-05    8.767132211923075e-06      4.469756429588785e-05     1.8765407859796173e-05    
Lambda        AB|SDSS|SDSS_r            5208.271639257872     All      1.6403873819793276e-05     6.168435010182973e-05      -0.0005135306224941248    -8.167172312592394e-06    
MWEBV         All|All|All               All                   All      -0.5992708725783937        -3.284237558353098         0.19469321684402185       -0.8658937182628903       
Redshift      All|All|All               All                   All      4.34068328400864           -0.9391442109233594        -5.175641650356111        -1.9507786322575853       
