#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6315.939675772691     All      1.0400032033745197         0.12963934157959045        0.49278675645357867        -0.2745446502152407        
Zeropoint     AB|SDSS|SDSS_z            7509.125786272133     All      0.08574620110181246        0.006986280376963805       0.038395142661687          -0.023941298430031774      
Zeropoint     AB|SDSS|SDSS_g            3985.8172707222993    All      -0.7687991122991733        0.6136085450341611         -0.3200765036347856        0.43601210955549474        
Zeropoint     AB|SDSS|SDSS_u            3031.1604228313254    All      -0.0933093814717394        0.024560351692315407       0.11860627559813837        0.04368690323159601        
Zeropoint     AB|SDSS|SDSS_r            5208.271639257872     All      0.7268253060299188         0.22484688665151964        -0.32212259343244487       -0.17788573768034013       
Check         All|All|All               All                   All      0.9904662167353383         0.9996414053345504         0.007589077646173559       0.003327326461478125       
Lambda        AB|SDSS|SDSS_i            6315.939675772691     All      -0.00028647833610395777    -4.2403010245777764e-05    -0.00020143430056592898    7.051427579174194e-05      
Lambda        AB|SDSS|SDSS_z            7509.125786272133     All      -1.543060089676949e-05     -1.1152760247339805e-06    -4.793478204203146e-06     4.449061354416834e-06      
Lambda        AB|SDSS|SDSS_g            3985.8172707222993    All      -0.00062029125337059       0.0003738690595058167      -0.0017667382014024348     0.0002449893092131183      
Lambda        AB|SDSS|SDSS_u            3031.1604228313254    All      -9.3125402104376e-05       2.5017393939798044e-05     0.00013323192884336695     4.442852452629163e-05      
Lambda        AB|SDSS|SDSS_r            5208.271639257872     All      0.0001150911728278657      3.7208537262670815e-05     -2.9149210615541563e-05    -2.6669732058476906e-05    
MWEBV         All|All|All               All                   All      -0.7628070665794819        -3.239181324502738         0.30953604551513664        -0.7928233940350757        
Redshift      All|All|All               All                   All      4.33600792441743           -0.26029151598994105       -3.6537852689307626        -1.6602175968243926        
