#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5180.169579261075     All      0.8534428195130515         0.42972624848438556        0.667870884077346          -0.10821441690881742       
Zeropoint     AB|SDSS|SDSS_i            6281.861016286719     All      1.0607364379647983         0.0362637819112166         -0.09670604047268153       -0.3380199946574395        
Zeropoint     AB|SDSS|SDSS_u            3014.8053135047962    All      -0.04946478873697116       0.034207973027733374       0.14527845262347314        0.03373808135964833        
Zeropoint     AB|SDSS|SDSS_z            7468.60910089445      All      0.0729834313536985         0.003167065847264894       0.05175755204724752        -0.020431785301615865      
Zeropoint     AB|SDSS|SDSS_g            3964.3111581697544    All      -0.9438122527679997        0.49703627389856564        -0.7596775548451006        0.4354308474439045         
Check         All|All|All               All                   All      0.9938856473265772         1.000401343169166          0.008523293430284573       0.0025027319356800692      
Lambda        AB|SDSS|SDSS_r            5180.169579261075     All      0.00028140313667311174     0.00012176116189366484     -8.080100813966266e-05     -5.5606421138299895e-05    
Lambda        AB|SDSS|SDSS_i            6281.861016286719     All      -0.0002754892097366862     -2.0357697389493195e-05    -0.00011911144920166044    7.778933023015164e-05      
Lambda        AB|SDSS|SDSS_u            3014.8053135047962    All      -5.720030740946139e-05     4.120659298094544e-05      0.00018113366372348542     4.013752844316754e-05      
Lambda        AB|SDSS|SDSS_z            7468.60910089445      All      -1.2607064594452613e-05    -2.7468884502148524e-09    -3.2562631535653506e-06    3.960328877512686e-06      
Lambda        AB|SDSS|SDSS_g            3964.3111581697544    All      -0.0009346581383562794     0.0002991159562823918      -0.001933700412163271      0.0003155886443557991      
MWEBV         All|All|All               All                   All      -0.6682813126900231        -3.190680928772238         0.37827132881457753        -0.8047480273728397        
Redshift      All|All|All               All                   All      4.8786973498423105         0.07564233650754204        -4.815018828988647         -1.7793852094157045        
