#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5180.169579261075     All      0.8595177299647544        0.4056746225099772        0.749721519170965         -0.11437500303855211      
Zeropoint     AB|SDSS|SDSS_i            6281.861016286719     All      1.1162762856756656        0.049436993874252266      -0.03846052061708127      -0.349220971702265        
Zeropoint     AB|SDSS|SDSS_u            3014.8053135047962    All      -0.032990805735570415     0.025128113211181358      0.12434100614729382       0.024480011983365156      
Zeropoint     AB|SDSS|SDSS_z            7468.60910089445      All      0.05969189954468195       0.0063514425912458705     0.07754656952739525       -0.013914194439147536     
Zeropoint     AB|SDSS|SDSS_g            3964.3111581697544    All      -1.0090804063415317       0.5140633999779709        -0.9024582763964784       0.4558654796264447        
Check         All|All|All               All                   All      0.9934147031080001        1.0006545721646276        0.010690297832094409      0.002835322429845133      
Lambda        AB|SDSS|SDSS_r            5180.169579261075     All      0.00039001891531045124    0.00014814664866168314    0.0002255800875128552     -6.871915135488826e-05    
Lambda        AB|SDSS|SDSS_i            6281.861016286719     All      -0.0002935234362714094    -3.938800805465515e-05    -0.0003461616094415949    6.73326670108325e-05      
Lambda        AB|SDSS|SDSS_u            3014.8053135047962    All      -6.193635415784659e-05    4.5295593013101195e-05    0.00021182890220578388    4.438192403033882e-05     
Lambda        AB|SDSS|SDSS_z            7468.60910089445      All      -7.83433620250679e-06     4.206330813271295e-06     4.7020128681071746e-05    6.020333760613979e-06     
Lambda        AB|SDSS|SDSS_g            3964.3111581697544    All      -0.0009747380721597425    0.0003232044588207854     -0.0017875907992059834    0.0003430106161202958     
MWEBV         All|All|All               All                   All      -0.6818926898051432       -3.1897623505471984       0.3612473256642157        -0.8007748459693999       
Redshift      All|All|All               All                   All      4.509117270644981         -0.13918681978779546      -7.15561259209517         -1.8334276923615034       
