#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5281.490432358506    All      1.0131173153099562        0.43526982158024197       0.8806831244621471        -0.14892309631218242      
Zeropoint     AB|SDSS|SDSS_g            4041.850586627369    All      -0.9948386051785103       0.5395999131204476        -0.8656490581876358       0.4611871652531765        
Zeropoint     AB|SDSS|SDSS_i            6404.73025974891     All      0.9639908439119043        -0.014564033618569283     -0.20939100660222468      -0.32809167603745226      
Zeropoint     AB|SDSS|SDSS_u            3073.773005896547    All      -0.04969470311728695      0.039896285244189755      0.17301982507358432       0.03690381250702207       
Zeropoint     AB|SDSS|SDSS_z            7614.690389156409    All      0.0618316451583994        0.0003344613960010179     0.030881781633049183      -0.018653543869273828     
Check         All|All|All               All                  All      0.9944064960844627        1.000536447722311         0.009544666378920142      0.002422661541290047      
Lambda        AB|SDSS|SDSS_r            5281.490432358506    All      0.00036833884094361906    0.00015204751802497122    0.0004478057680018737     -5.046968491934566e-05    
Lambda        AB|SDSS|SDSS_g            4041.850586627369    All      -0.000945823636091768     0.00034334724197347243    -0.0018501701793351684    0.0003373607698685089     
Lambda        AB|SDSS|SDSS_i            6404.73025974891     All      -0.0002820258885450012    8.06850445965155e-07      -4.023041120790965e-05    9.03326295294732e-05      
Lambda        AB|SDSS|SDSS_u            3073.773005896547    All      -4.787374179459001e-05    3.924340615557418e-05     0.00017275287743679808    3.608608865114187e-05     
Lambda        AB|SDSS|SDSS_z            7614.690389156409    All      -6.360335610294222e-06    4.885934721323526e-07     2.76117153582292e-06      2.354139929261992e-06     
MWEBV         All|All|All               All                  All      -0.6805815064449647       -3.2829929300875804       0.3835729734405582        -0.830573917355459        
Redshift      All|All|All               All                  All      6.482538253332039         -0.6660340174020618       -1.9549693104223498       -2.415766471095102        
