#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4555.542039041545     All      -0.29923350192794373       0.20638394833074614       -1.6048176780031564       0.0930805955609959        
Zeropoint     AB|PS|PS_g                3587.2327256880894    All      -0.6327525470106218        0.3381338103190856        -0.04877964280576297      0.3140728163730677        
Zeropoint     AB|PS|PS_z                6341.2388587245       All      0.908234847256544          0.11464741373004017       1.0659909467856554        -0.21092725531494105      
Zeropoint     AB|PS|PS_i                5517.748033545956     All      1.019987169872576          0.33881539450888454       0.5936583606907408        -0.1953878110583257       
Check         All|All|All               All                   All      0.9962359681905544         0.9979805668887565        0.006051986667476861      0.0008383455607968715     
Lambda        AB|PS|PS_r                4555.542039041545     All      -0.00019631099194226536    -0.0001854130894704845    -0.0016969492747794723    -7.21772469618915e-05     
Lambda        AB|PS|PS_g                3587.2327256880894    All      -0.0006214424134589919     0.00023468751336482436    -0.0010275630504133595    0.00023301426349094006    
Lambda        AB|PS|PS_z                6341.2388587245       All      -0.00015897787768206272    -3.403530037847582e-05    -0.0004977323726116768    1.8486398128920906e-05    
Lambda        AB|PS|PS_i                5517.748033545956     All      4.4246014323557134e-05     2.5505517950389796e-05    0.00103208832038402       3.995296531577961e-05     
MWEBV         All|All|All               All                   All      -0.49768666505344905       -2.627819723053193        0.19736954444533605       -0.685046720003496        
Redshift      All|All|All               All                   All      3.7385946535675325         0.6038147918680181        -3.483319510048033        -1.1765454835752753       
