#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                6421.129335233847    All      1.081891079917996          -0.08824302450776145       -0.19657467566114306      -0.3899233990199785        
Zeropoint     AB|PS|PS_g                4174.54460536936     All      -0.7883027262417207        0.7019077362556914         0.2162795099462489        0.49506213529643267        
Zeropoint     AB|PS|PS_r                5301.388256031363    All      0.09015248678122334        0.43874855843348826        -0.5944872009714386       0.08701997560885272        
Zeropoint     AB|PS|PS_z                7379.444405567302    All      0.6132684413617906         -0.052382448493659695      0.5865538866582476        -0.19064918807272652       
Check         All|All|All               All                  All      0.9970092818192892         1.0000308216877585         0.011771519971914834      0.001509523812580349       
Lambda        AB|PS|PS_i                6421.129335233847    All      -0.0005477211216752568     -5.4666500509306304e-05    -0.0010947162077794912    0.00011175195462545938     
Lambda        AB|PS|PS_g                4174.54460536936     All      -0.0005014010454904162     0.00028319163279900056     -0.0006006532742963888    0.00022876325072013404     
Lambda        AB|PS|PS_r                5301.388256031363    All      -8.907432704400541e-05     8.136231948237323e-05      -0.0011605393160436658    3.7272834620183715e-06     
Lambda        AB|PS|PS_z                7379.444405567302    All      -0.00017562277077793278    -8.545285266237645e-05     -0.001176433771842577     -2.3127527240024986e-05    
MWEBV         All|All|All               All                  All      -0.5409946917446065        -3.3617562121406763        0.04904181139238073       -0.9166263166890273        
Redshift      All|All|All               All                  All      7.4574650708715            0.5446479756781031         7.117347259324869         -1.934117433441658         
