#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                6421.129335233847    All      1.1109987431317863         -0.08482143876094028      -0.010764412696657535     -0.389998340857384        
Zeropoint     AB|PS|PS_g                4174.54460536936     All      -0.7042639242240655        0.6715600787785547        0.28738597053643494       0.4609758569922189        
Zeropoint     AB|PS|PS_r                5301.388256031363    All      -0.011007758849538252      0.47747259136468045       -0.8054272750669071       0.12317160049838842       
Zeropoint     AB|PS|PS_z                7379.444405567302    All      0.6003023051018024         -0.06526092025236352      0.5317664798927144        -0.19306554319506972      
Check         All|All|All               All                  All      0.996029365159985          0.9989503111299314        0.0029607626655847596     0.001083573438153601      
Lambda        AB|PS|PS_i                6421.129335233847    All      -0.0003491370228226365     -4.585053309939836e-05    -0.0008440253120119401    6.11254143249519e-05      
Lambda        AB|PS|PS_g                4174.54460536936     All      -0.0005578946411689248     0.00038412635195487663    -0.0005084034870196278    0.0002841595164176262     
Lambda        AB|PS|PS_r                5301.388256031363    All      -0.00015149822490134854    0.00013349846280398796    -0.0013034220494732786    3.466705763110662e-05     
Lambda        AB|PS|PS_z                7379.444405567302    All      -9.734636819571995e-05     -6.215773404946044e-05    -0.0007953396007312393    -2.403025770486003e-05    
MWEBV         All|All|All               All                  All      -0.5331172651552754        -3.3660499009751987       0.053562010959942924      -0.9203891336542057       
Redshift      All|All|All               All                  All      6.6543459602606365         -0.09524271798824202      4.287817985010252         -2.0072174639421743       
