#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5264.76113762071     All      0.5849329280089699         0.23594219523390692        0.14620614275993732        -0.10715325446806244       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4309.794797896138    All      -0.5219541686562637        0.32220427878932867        -0.1115218281199426        0.26999347133327695        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4708.047082993312    All      -0.2748205299125054        0.439014378125524          0.049337118499932775       0.2347212030203649         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7451.271755947703    All      0.34258214402082865        -0.04061377572073255       0.03537316325894421        -0.12324097601794327       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6094.346482951602    All      1.097547442183114          -0.04473643859936871       -0.06918449418975708       -0.37516682621709424       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3522.068324045362    All      -0.23440342228849928       0.08628865043549538        -0.051640046459432154      0.1021555004426881         
Check         All|All|All                              All                  All      0.9938843933556443         0.9980992882641537         -0.001429944250317533      0.0013091180932299634      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5264.76113762071     All      0.00022059389451876746     -2.5373189985945827e-06    -0.0009874976215054712     -0.00011674866047674646    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4309.794797896138    All      -0.00034779059910084267    0.00011010666850344622     -0.000466557114871214      0.00012833190321398456     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4708.047082993312    All      -0.00019049222428279536    -1.78582223638287e-07      -0.0006447476512142619     3.3219287896678565e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7451.271755947703    All      -6.024617891708477e-05     -2.392667059540037e-05     -0.00023912882409164482    1.1592375964589771e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6094.346482951602    All      -0.00018340282385732518    -5.332733471987031e-05     -0.0005926863738195279     1.5920995415042202e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3522.068324045362    All      -0.0005977370451379105     0.00016894730118028145     -0.0002032991879278275     0.00024066200572380445     
MWEBV         All|All|All                              All                  All      -1.041612250203361         -3.930046903784845         -0.030608852714090334      -0.942224125864272         
Redshift      All|All|All                              All                  All      6.97230904820235           0.6431600510676816         8.626451368268569          -1.6766531464761807        
