#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5264.76113762071     All      0.59808609030418           0.2348607172273809         0.14917801056929217        -0.11165732430905738       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4309.794797896138    All      -0.5277779992815324        0.31863242312892837        -0.1279155307020262        0.2699954380144245         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4708.047082993312    All      -0.28923255571676587       0.43767106501722           0.03499938525187475        0.23833828550928102        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7451.271755947703    All      0.35375112023139876        -0.041975290197004966      0.0467036237673665         -0.12681694266197868       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6094.346482951602    All      1.1283838325514988         -0.05195741071331028       -0.04352438210145225       -0.3864182682777551        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3522.068324045362    All      -0.269053873868991         0.10098646582621384        -0.059584528157897214      0.11787532877445372        
Check         All|All|All                              All                  All      0.9941566142197884         0.9982179702894278         -0.00014342137284222706    0.0013165170493680822      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5264.76113762071     All      0.00022237533564936548     3.8958814274033875e-06     -0.0009242451394385991     -0.00011241076166939745    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4309.794797896138    All      -0.00033110618615599444    0.0001127398333606141      -0.0004346610509563825     0.0001251783242786919      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4708.047082993312    All      -0.00017101460708476558    -5.194178064051944e-06     -0.0006344498948667468     2.5700584177188714e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7451.271755947703    All      -5.5965692792933986e-05    -2.3914067440291678e-05    -0.00023827994949981738    -1.930709214438658e-07     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6094.346482951602    All      -0.00018332240612940921    -5.2517046628265626e-05    -0.00060020779525156       1.5823091710644908e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3522.068324045362    All      -0.000606431363226122      0.00017741346835597164     -0.00015312228760817765    0.00024849090494455156     
MWEBV         All|All|All                              All                  All      -1.026242307293629         -3.9387455368321334        -0.03288332748563585       -0.9501655522488718        
Redshift      All|All|All                              All                  All      6.9334142627829145         0.5542335979650481         8.138842184652795          -1.7147098649903691        
