#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4324.545709095666     All      -0.5033751529253927        0.31021173933725166        -0.1717629088703082        0.2573470272792874         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6115.205286677723     All      1.099701206414374          -0.04051017967281467       0.03281893860348549        -0.369939801791046         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5282.780562597898     All      0.6291964225011916         0.21013365714779297        0.0983620820049714         -0.13211308147189496       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7476.774837451534     All      0.3414751716493067         -0.03959778751339016       0.04282968340967348        -0.12221670766630996       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4724.161071640366     All      -0.2910693810198205        0.4511820542605349         0.042366105041150896       0.24366631650520948        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3534.1231246850634    All      -0.281660672280264         0.10672651679506373        -0.043927218981006454      0.12455021500812047        
Check         All|All|All                              All                   All      0.994267594339395          0.9981460003544385         0.0006866812079666246      0.0012939678633663854      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4324.545709095666     All      -0.0002739529468043917     8.01859353566434e-05       -0.0005130948802166905     9.245761679848487e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6115.205286677723     All      -0.00016916864154073046    -1.9488757876654307e-05    -0.0003379627107601106     3.36739388566583e-05       
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5282.780562597898     All      0.00019500973730622188     1.6540693243389032e-05     -0.0005759748120026241     -8.383634961146332e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7476.774837451534     All      -6.240660663764127e-05     -1.0287427089887568e-05    -0.00017442433847003874    9.193174324872442e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4724.161071640366     All      -0.0001265908520637887     -8.577516581873049e-05     -0.0010547633267821782     -3.3774231115342087e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3534.1231246850634    All      -0.0004994520080047797     0.00013928444943283862     -0.00032474338518981484    0.0001935656722041087      
MWEBV         All|All|All                              All                   All      -1.0458288157149713        -3.9506312047836722        -0.012215907343711294      -0.9467348431188238        
Redshift      All|All|All                              All                   All      5.501301435933954          0.6686090470332751         5.883520467988022          -1.3116124054678564        
