#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4324.545709095666     All      -0.5067929736313451        0.3176265651039678         -0.1542468994137458        0.2616572356728436         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6115.205286677723     All      1.1163229723168409         -0.05107765921001928       0.07188821248331756        -0.3770527512757804        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5282.780562597898     All      0.6388684029530112         0.20722710720484372        0.10997763882686362        -0.13569197369019126       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7476.774837451534     All      0.34291175779858823        -0.03881165880113002       0.08584937529237946        -0.12050881178653494       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4724.161071640366     All      -0.31545718822837815       0.4533261339449979         -0.07061924693176902       0.2472666076038188         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3534.1231246850634    All      -0.2819976756628415        0.11010200779102419        -0.0419026893590857        0.1258498420233456         
Check         All|All|All                              All                   All      0.9938552955458757         0.9983924960336843         0.0009463908979601143      0.0015201485475013765      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4324.545709095666     All      -0.00030811776024669514    0.0001069176346945083      -0.0004950980551218557     0.00011309673009430268     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6115.205286677723     All      -0.00011790274365766176    -3.387725904454178e-05     -0.00046076033706873154    6.80824704713477e-06       
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5282.780562597898     All      0.0002369458625382276      3.0796341787910645e-05     -0.0006140856625399857     -9.455350375188763e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7476.774837451534     All      -7.139637088571491e-05     -8.4028138158038e-06       -0.0001778689401982777     1.2581600085585363e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4724.161071640366     All      -0.00018776160196363513    -2.4426258137163923e-05    -0.0012298457916669495     -1.6786741471989867e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3534.1231246850634    All      -0.0006775399054855526     0.00020419979710400695     -0.00042793101714956616    0.000268115033628687       
MWEBV         All|All|All                              All                   All      -1.041418752044779         -3.9527330159860874        -0.008533944424660156      -0.948691665904719         
Redshift      All|All|All                              All                   All      5.445105661730048          -0.0008037732022181387     6.305507752467143          -1.4925260172131165        
