#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5405.786721214955     All      1.1628990143044848         0.4926869992221583        0.832625577355306         -0.18115384722627026      
Zeropoint     AB|SDSS|SDSS_g            4136.972793978542     All      -0.8502813906495537        0.5212017386842405        -0.6119279737023753       0.4194296406959508        
Zeropoint     AB|SDSS|SDSS_u            3146.1121651382805    All      -0.12404679406794016       0.05726621379960051       0.0616867695777068        0.06181240889240602       
Zeropoint     AB|SDSS|SDSS_i            6555.461234766106     All      0.6776714188426175         -0.06202598162001749      -0.32572295549422314      -0.255479298164607        
Zeropoint     AB|SDSS|SDSS_z            7793.896953720865     All      0.12640045014480078        -0.008918350004982756     0.049777194215594456      -0.04185645750561795      
Check         All|All|All               All                   All      0.992642698574409          1.000210620080999         0.006438611952008788      0.0027524466918615875     
Lambda        AB|SDSS|SDSS_r            5405.786721214955     All      -3.906302976120385e-05     -7.919373738058796e-05    -0.0017717609024332833    -9.21374434048026e-05     
Lambda        AB|SDSS|SDSS_g            4136.972793978542     All      -0.0005639776519987312     0.00018291873411887334    -0.0009815547048668356    0.00019948644675923388    
Lambda        AB|SDSS|SDSS_u            3146.1121651382805    All      -4.8920324601818006e-05    9.145250735300743e-06     -3.787716558206274e-05    1.7223584251588323e-05    
Lambda        AB|SDSS|SDSS_i            6555.461234766106     All      -0.0003357646855958829     1.2234583770813737e-06    -0.0002892207449537941    9.686153156817411e-05     
Lambda        AB|SDSS|SDSS_z            7793.896953720865     All      3.962136868801988e-06      4.591269058880608e-07     2.1473076857963234e-05    -1.828007926296298e-07    
MWEBV         All|All|All               All                   All      -0.8147076397994004        -3.3671062017290865       0.2095477115269695        -0.8220490310913653       
Redshift      All|All|All               All                   All      5.472852981976259          0.5181506984220263        7.06440581276917          -1.2986575528354583       
