#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5405.786721214955     All      1.078307935774217         0.49024340824423973       0.600768328948676         -0.164742432072967         
Zeropoint     AB|SDSS|SDSS_g            4136.972793978542     All      -0.9153038071945          0.5632637658388617        -0.5204800886248553       0.45839146608852005        
Zeropoint     AB|SDSS|SDSS_u            3146.1121651382805    All      -0.08431117988174947      0.047326733383457054      0.07896366361353677       0.046402584749270705       
Zeropoint     AB|SDSS|SDSS_i            6555.461234766106     All      0.7753751564244054        -0.08696002490875543      -0.21552443388177261      -0.290508804161226         
Zeropoint     AB|SDSS|SDSS_z            7793.896953720865     All      0.13912818557395804       -0.01364508642183182      0.0602483108938817        -0.047074675375676896      
Check         All|All|All               All                   All      0.993196290696331         1.0002287961359713        0.003975780949466608      0.0024681392279209333      
Lambda        AB|SDSS|SDSS_r            5405.786721214955     All      0.00013905997288607514    2.4650498644281637e-05    -0.001324691445277783     -9.638182483545597e-05     
Lambda        AB|SDSS|SDSS_g            4136.972793978542     All      -0.0008496981061682817    0.00036992940775968644    -0.0010259265110816162    0.0003514904175601911      
Lambda        AB|SDSS|SDSS_u            3146.1121651382805    All      -6.47427419172754e-05     3.346034140438574e-05     4.836173725992274e-05     3.414613723982755e-05      
Lambda        AB|SDSS|SDSS_i            6555.461234766106     All      -0.0003003787529272757    6.1458914144814945e-06    -0.0003191212595506011    8.560424488056185e-05      
Lambda        AB|SDSS|SDSS_z            7793.896953720865     All      7.641925105736148e-06     -2.833125716727242e-07    1.4999068422120391e-05    -1.9121711086574525e-06    
MWEBV         All|All|All               All                   All      -0.7422266499477557       -3.3963475013308653       0.1717636558374226        -0.8568694561997989        
Redshift      All|All|All               All                   All      5.474553550095177         -0.7455750078861456       4.837487896198581         -1.8102256404567154        
