#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_u       3400.825605672502    All      -0.7040626653227353        0.13346714304223184        -0.09777200185951337      0.26844789710430417        
Zeropoint     VEGAHST|UVOT|UVOT_b       4262.844802335456    All      0.060112592040292734       0.48440357467081085        0.0369997376318678        0.13985666015833356        
Zeropoint     VEGAHST|UVOT|UVOT_v       5296.190411709869    All      1.6483244628949612         0.378789584000927          0.062022304066537345      -0.41076150594036437       
Check         All|All|All               All                  All      1.0043743896125188         0.9966603017139697         0.00125003983889177       -0.002456948677726667      
Lambda        VEGAHST|UVOT|UVOT_u       3400.825605672502    All      -0.00032391508808827813    -1.7804185620650077e-05    -0.0005891653682290946    7.341864723786388e-05      
Lambda        VEGAHST|UVOT|UVOT_b       4262.844802335456    All      -0.0002975121976472029     1.6295881492977708e-05     -0.0019480367666090887    1.5285681470597875e-05     
Lambda        VEGAHST|UVOT|UVOT_v       5296.190411709869    All      0.0009316088299975264      0.00017960753896313283     0.0006578421176696484     -0.00021559508824548922    
MWEBV         All|All|All               All                  All      -1.6835640335584623        -3.8224409043053242        -0.02532146914285653      -0.6978325446317373        
Redshift      All|All|All               All                  All      -1.245825627117011         -0.7373026552064843        -1.327058864193398        0.10642211971206225        
