#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3962.9019793357       All      -0.8323742280047465        0.5435557789255085        -0.18365216782750002      0.4399901172436116         
Zeropoint     AB|SDSS|SDSS_z            7465.954262400475     All      0.0993268202756298         0.006702134633584933      0.13011351256679435       -0.024364538899151154      
Zeropoint     AB|SDSS|SDSS_u            3013.7336519557703    All      -0.0634086867816798        0.02709949929968758       0.06272647566407234       0.032280688354184135       
Zeropoint     AB|SDSS|SDSS_r            5178.328203789611     All      0.6834516503452971         0.35257126654979487       -0.2272580488225657       -0.11792010960397191       
Zeropoint     AB|SDSS|SDSS_i            6279.628026687913     All      1.106174111823122          0.07009620554558893       0.22495427683724895       -0.32744598382763196       
Check         All|All|All               All                   All      0.9931696676576227         1.0000248849541649        0.006884048418049904      0.002540173267040702       
Lambda        AB|SDSS|SDSS_g            3962.9019793357       All      -0.0007351908598057385     0.000345565824378874      -0.001212464567279551     0.0002979312828883759      
Lambda        AB|SDSS|SDSS_z            7465.954262400475     All      -1.578558394163205e-05     -8.290262806607162e-07    -1.74212488427021e-05     4.094412563361937e-06      
Lambda        AB|SDSS|SDSS_u            3013.7336519557703    All      -7.032290321932345e-05     3.102227390770169e-05     7.790678829301032e-05     3.648808049614579e-05      
Lambda        AB|SDSS|SDSS_r            5178.328203789611     All      9.369666503588879e-05      5.55362899266793e-05      -0.0008384948156359396    -4.9848262166558056e-05    
Lambda        AB|SDSS|SDSS_i            6279.628026687913     All      -0.00028915045336217707    -3.439140896965176e-05    -0.0002961744227698862    6.976649787395794e-05      
MWEBV         All|All|All               All                   All      -0.7008377846820104        -3.2035617622945267       0.20243101291109125       -0.806185970307393         
Redshift      All|All|All               All                   All      4.678553947100866          0.02199598051877416       -3.6723364971789336       -1.6806736373601325        
