#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3962.9019793357       All      -0.8341841992393301        0.49291456155149405        -0.45155600907065274       0.4121288558788745        
Zeropoint     AB|SDSS|SDSS_z            7465.954262400475     All      0.08523814163964419        0.0056140561344619755      0.1168824862148754         -0.020720255665714754     
Zeropoint     AB|SDSS|SDSS_u            3013.7336519557703    All      -0.08676160580802156       0.04387308050617378        0.14063657712721778        0.048827979602809185      
Zeropoint     AB|SDSS|SDSS_r            5178.328203789611     All      0.7033481749243731         0.38588057953941046        -0.10531843511855099       -0.10810951823980591      
Zeropoint     AB|SDSS|SDSS_i            6279.628026687913     All      1.1246552753506798         0.0718525464323605         0.30378129426574807        -0.3293761210436195       
Check         All|All|All               All                   All      0.9922957868673458         1.0001348241639008         0.004425913418637517       0.0027509405325434333     
Lambda        AB|SDSS|SDSS_g            3962.9019793357       All      -0.0006115899548560998     0.00023849817444785297     -0.0013094484368464845     0.00021846700112572784    
Lambda        AB|SDSS|SDSS_z            7465.954262400475     All      -1.7193610411099135e-05    -1.5817643036201606e-07    -1.0778654386510338e-06    5.500901112586947e-06     
Lambda        AB|SDSS|SDSS_u            3013.7336519557703    All      -6.889883413094546e-05     3.229773623111202e-05      9.521877034016482e-05      3.721222863148536e-05     
Lambda        AB|SDSS|SDSS_r            5178.328203789611     All      9.330181694052695e-05      5.212030286215036e-05      -0.0005014355205969213     -3.579093824109278e-05    
Lambda        AB|SDSS|SDSS_i            6279.628026687913     All      -0.00045390580949155755    -4.8467112703594364e-05    -0.0005080818412391887     0.00010939136304175711    
MWEBV         All|All|All               All                   All      -0.7224150060354786        -3.2002284794122815        0.12265892372270715        -0.8016316615070983       
Redshift      All|All|All               All                   All      4.77173555620954           0.27094855552700636        -5.455426417143983         -1.7095050227463389       
