#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                    dc/dP                     
Zeropoint     VEGAHST|UVOT|UVOT_u       3407.461362951863    All      -0.7003301905891983        0.16683500244374372        0.4111968273444972       0.3008140581039538        
Zeropoint     VEGAHST|UVOT|UVOT_b       4271.162548291232    All      -0.3073679563131061        0.4218632230704067         -1.2162282600903924      0.18325990480492804       
Zeropoint     VEGAHST|UVOT|UVOT_v       5306.524441781498    All      1.9990738820479523         0.4110752915043925         0.8186527481997902       -0.48073067232579436      
Check         All|All|All               All                  All      0.991375735145648          0.9997735170185429         0.013621315453895        0.003343290583087466      
Lambda        VEGAHST|UVOT|UVOT_u       3407.461362951863    All      -0.00020274087339669145    -3.3489968613909685e-05    0.0005666070785394721    8.041565946015944e-05     
Lambda        VEGAHST|UVOT|UVOT_b       4271.162548291232    All      -0.0004113341005897803     -2.3362585835803287e-05    -0.002918226262071732    -3.85194890874603e-06     
Lambda        VEGAHST|UVOT|UVOT_v       5306.524441781498    All      0.0009687913690149496      0.00017004137964521786     0.0002603619630834516    -0.0002485603910186641    
MWEBV         All|All|All               All                  All      -1.566286999428271         -3.8234687684741253        0.33278762557400043      -0.720387577961634        
Redshift      All|All|All               All                  All      -0.8820911175440687        -0.42214423056883277       -4.601231753753997       -0.05551200758601359      
