#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3050.453349306373     All      -0.04606976488785968       0.026759750990734688       0.05601042521867764       0.026222457372492902      
Zeropoint     AB|SDSS|SDSS_r            5241.421584421257     All      0.7518725178675897         0.4343718492609838         0.7366795964650807        -0.07054578628367747      
Zeropoint     AB|SDSS|SDSS_g            4011.1864590264913    All      -0.9017840966506677        0.5538006989254995         -0.5130654253025473       0.4512361017295499        
Zeropoint     AB|SDSS|SDSS_z            7556.920357155027     All      0.1086727638929325         -0.0026208690815821        0.04836158071725767       -0.03409384248086329      
Zeropoint     AB|SDSS|SDSS_i            6356.139778303623     All      1.0810774936823555         -0.012019948157870886      -0.322454648308321        -0.370447468618393        
Check         All|All|All               All                   All      0.9937689139043504         1.000291481937765          0.005531528790147733      0.0023714617191090692     
Lambda        AB|SDSS|SDSS_u            3050.453349306373     All      -4.691639235581398e-05     2.7721245241659443e-05     6.04431339820784e-05      2.700923353518507e-05     
Lambda        AB|SDSS|SDSS_r            5241.421584421257     All      0.00014190421636377782     8.61780105329289e-05       -0.001002977090234762     -6.291011960684409e-05    
Lambda        AB|SDSS|SDSS_g            4011.1864590264913    All      -0.0008325367184507698     0.00043516631020697823     -0.0008401217134039453    0.00037544180909492107    
Lambda        AB|SDSS|SDSS_z            7556.920357155027     All      -1.0683230534740651e-05    -1.2837369079135268e-06    -2.118330452084252e-05    2.1164107190461563e-06    
Lambda        AB|SDSS|SDSS_i            6356.139778303623     All      -0.0003205614281334638     -6.392837189683123e-05     -0.0007581352070163661    4.976173709296105e-05     
MWEBV         All|All|All               All                   All      -0.6681386787682948        -3.2708874558659673        0.15279044809177          -0.8409825686348861       
Redshift      All|All|All               All                   All      5.895123056091546          -0.41500935297680286       -1.159025645112099        -2.1071397141526735       
