#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3936.5340545187046    All      -0.7202422652657439        0.49153654805174085        0.3595233399774189        0.41076010126853135       
Zeropoint     AB|PS|PS_z                6958.707344647706     All      1.2975048922535104         0.036420507953849324       5.4799840114777565        -0.16623015463426982      
Zeropoint     AB|PS|PS_i                6055.030353276248     All      0.2546691703290047         -0.06339107582604697       -6.462240187037948        -0.39198278559584715      
Zeropoint     AB|PS|PS_r                4999.131014015482     All      0.14760933845051472        0.5321299690734804         0.43634366611435826       0.14472303351160676       
Check         All|All|All               All                   All      0.979541135767286          0.9966959492530236         -0.18638916946841455      -0.0027298054499788615    
Lambda        AB|PS|PS_g                3936.5340545187046    All      -0.0006268285659470897     0.00029550444551170254     -0.0016884722548739439    0.00022508544382445015    
Lambda        AB|PS|PS_z                6958.707344647706     All      -0.0005828162715008206     -1.1878398421803076e-05    -0.0017509636207114834    0.0001078357840526203     
Lambda        AB|PS|PS_i                6055.030353276248     All      -9.170649152676545e-05     -1.2692159719988559e-05    0.0004799447806410794     4.715529861713511e-05     
Lambda        AB|PS|PS_r                4999.131014015482     All      -0.00021822041363247678    -0.00017485920107769657    -0.002173148544100352     -8.285346514233487e-05    
MWEBV         All|All|All               All                   All      -0.461874975665022         -3.0736651202113663        0.46828491141026607       -0.8298485705808267       
Redshift      All|All|All               All                   All      5.474411045977568          0.5859879782681432         7.709367952718993         -1.2482865336113758       
