#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5184.965022704444     All      0.7422892088205706        0.3342720214790873        0.10828298538423375        -0.12807244897193593      
Zeropoint     AB|SDSS|SDSS_z            7475.523023690986     All      0.05925099163490355       0.0029634310068971104     0.06642958255929088        -0.015370263132698236     
Zeropoint     AB|SDSS|SDSS_i            6287.676329619956     All      1.0297337129473287        0.0704194213520637        0.08977961087390796        -0.3084737735848664       
Zeropoint     AB|SDSS|SDSS_g            3967.9810438096047    All      -0.8375692754030951       0.5916633047545972        -0.25515734790455546       0.4541615711709343        
Zeropoint     AB|SDSS|SDSS_u            3017.596212171813     All      -0.002379812202870271     -0.0008931940593370769    -0.022031205363370887      -0.0004989110720679535    
Check         All|All|All               All                   All      0.9913248257968374        0.9984249845333082        -0.012696374450493764      0.0017461744093658083     
Lambda        AB|SDSS|SDSS_r            5184.965022704444     All      1.390439724570784e-05     4.1107723981337904e-05    -0.0019212215411767114     -7.687427505067734e-05    
Lambda        AB|SDSS|SDSS_z            7475.523023690986     All      -2.670487264872217e-05    -4.880318857887247e-06    -0.00010576148963399633    2.3893256387548615e-06    
Lambda        AB|SDSS|SDSS_i            6287.676329619956     All      2.7177580854328917e-05    1.462189454882542e-06     0.00013147300884804925     -2.509312438848087e-06    
Lambda        AB|SDSS|SDSS_g            3967.9810438096047    All      -0.0009459959850843913    0.00054230521634566       -0.001415961088401849      0.00042160082485960846    
Lambda        AB|SDSS|SDSS_u            3017.596212171813     All      -6.878932666479808e-05    2.8488925337576717e-05    6.573349333357853e-05      3.4620110941066796e-05    
MWEBV         All|All|All               All                   All      -0.7036033681556471       -3.22105789625855         0.20903421073934503        -0.8106895248311443       
Redshift      All|All|All               All                   All      4.129620481272599         -0.6292323832919777       -3.7222002434343704        -1.7162196410146857       
