#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5184.965022704444     All      0.7745456058837452         0.35610275436539496        -0.1846515189497281        -0.14454075231741467      
Zeropoint     AB|SDSS|SDSS_z            7475.523023690986     All      0.08904977449075377        0.005328859198350244       0.14264390726247544        -0.02090511400568221      
Zeropoint     AB|SDSS|SDSS_i            6287.676329619956     All      1.0482083637369228         0.061960836414698406       0.19356555735134873        -0.312615324418596        
Zeropoint     AB|SDSS|SDSS_g            3967.9810438096047    All      -0.8462350735445077        0.5496598084477            -0.2090195962715962        0.44536130205309415       
Zeropoint     AB|SDSS|SDSS_u            3017.596212171813     All      -0.07259854265687858       0.026782825425542          0.06431367648217738        0.03524180513370648       
Check         All|All|All               All                   All      0.9929701279100356         0.9998350838516856         0.006852025874677273       0.0025419164451077336     
Lambda        AB|SDSS|SDSS_r            5184.965022704444     All      3.0469660083268842e-05     3.136066415318937e-05      -0.001413459151192074      -6.27859607958937e-05     
Lambda        AB|SDSS|SDSS_z            7475.523023690986     All      -1.5977452837406807e-05    -6.775857707096321e-07     -1.9591027768792294e-05    4.1094124633135606e-06    
Lambda        AB|SDSS|SDSS_i            6287.676329619956     All      -0.00028083781607604244    -2.6761616318861706e-05    -0.0002666823975725778     7.086016654388847e-05     
Lambda        AB|SDSS|SDSS_g            3967.9810438096047    All      -0.0007348244938805385     0.0003906970899093221      -0.0011299969252884184     0.0003161928355131424     
Lambda        AB|SDSS|SDSS_u            3017.596212171813     All      -8.410885475195807e-05     3.044564644881459e-05      6.583712916817378e-05      4.025217846801709e-05     
MWEBV         All|All|All               All                   All      -0.7189241262709696        -3.2133661277640613        0.20188389908431958        -0.8035126733936613       
Redshift      All|All|All               All                   All      4.768639464981113          -0.1938142504323892        -2.555019852816462         -1.7304532362375757       
