#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6532.877561266016     All      1.0288617005620904         -0.008133897764750486      0.6366799742713704        -0.3093714794305092        
Zeropoint     AB|PS|PS_i                5684.50000388767      All      0.7249239405629602         0.1263050176982361         -1.3297408678028615       -0.25433010480577073       
Zeropoint     AB|PS|PS_g                3695.6425554675675    All      -0.631670057367659         0.3415160153609875         -0.2978684982520924       0.30370621774205536        
Zeropoint     AB|PS|PS_r                4693.215163360798     All      -0.12739731028017542       0.5393977530033567         0.993623257778024         0.26153793146551185        
Check         All|All|All               All                   All      0.9947182734772162         0.9990848882978298         0.0026938659944404364     0.0015425649712872969      
Lambda        AB|PS|PS_z                6532.877561266016     All      -0.0004360305689876262     6.406957194413665e-06      -0.0002878878859511807    0.00013126934391098635     
Lambda        AB|PS|PS_i                5684.50000388767      All      -0.00022285038622938072    -1.5289679209658882e-05    0.0005590269555177518     9.255615632757454e-05      
Lambda        AB|PS|PS_g                3695.6425554675675    All      -0.0012103155092174603     0.0005995523720367121      -0.0008695806894770002    0.000550728119477467       
Lambda        AB|PS|PS_r                4693.215163360798     All      -4.8381274142777906e-05    -5.194277520648117e-05     -0.0004850097458275397    -2.2803855453445018e-05    
MWEBV         All|All|All               All                   All      -0.4539521161089386        -2.8097161106552804        -0.004103959633561358     -0.7675329762267556        
Redshift      All|All|All               All                   All      5.0070782313984825         0.02963545571486037        -3.6184815197295745       -1.7827930761845519        
