#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                6532.877561266016     All      0.913393400325897          0.0366312018307724         0.6489930902683072         -0.25662871176819757       
Zeropoint     AB|PS|PS_i                5684.50000388767      All      0.7300481482123642         0.1213625305426902         -1.2704758983979325        -0.254964435097782         
Zeropoint     AB|PS|PS_g                3695.6425554675675    All      -0.6171498997218663        0.2915211136375717         -0.4632294802194403        0.275312239273412          
Zeropoint     AB|PS|PS_r                4693.215163360798     All      -0.031133671033504284      0.5486434773173343         1.0858293618730253         0.2373080687060075         
Check         All|All|All               All                   All      0.9951579777828905         0.9981583233283686         0.001117073523959622       0.0010271611134399228      
Lambda        AB|PS|PS_z                6532.877561266016     All      -0.000404793972926033      5.8136715481107416e-06     -0.00010351575759859652    0.00012912898556453943     
Lambda        AB|PS|PS_i                5684.50000388767      All      -0.0002769137836652405     -1.7889966088736053e-05    0.0007713514250766192      0.000118794450427362       
Lambda        AB|PS|PS_g                3695.6425554675675    All      -0.0011238820963066242     0.0004949051030197438      -0.0011798616033393047     0.0004746404428888871      
Lambda        AB|PS|PS_r                4693.215163360798     All      -0.00013200287654472893    -0.00010181988420252219    -0.0008219058516888755     -2.6846289687025802e-05    
MWEBV         All|All|All               All                   All      -0.47339956147440176       -2.8003564572868456        -0.0061323282614100805     -0.7582400732196278        
Redshift      All|All|All               All                   All      5.042560698141805          0.3629473600691213         -4.252837103893603         -1.7140886062886342        
