#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5250.697669146387     All      0.7753052185151763        0.36265139693565374        -0.37563723399034465      -0.15117789010951135      
Zeropoint     AB|SDSS|SDSS_i            6367.388652327333     All      1.0232851853753724        0.04124045190447845        0.21989212104740474       -0.31007150256918553      
Zeropoint     AB|SDSS|SDSS_u            3055.8519350263855    All      -0.07822772123540975      0.04081996011890965        0.13268338086074305       0.04469879626457368       
Zeropoint     AB|SDSS|SDSS_z            7570.294330678236     All      0.08134630266074142       0.003230422233890806       0.10172664713650192       -0.020905319143045553     
Zeropoint     AB|SDSS|SDSS_g            4018.2853166251275    All      -0.8094156241623831       0.5527000807839855         -0.0697114988849501       0.44057499335476563       
Check         All|All|All               All                   All      0.9922933611534974        1.000642311976918          0.008953416169354966      0.0031190777975968476     
Lambda        AB|SDSS|SDSS_r            5250.697669146387     All      0.0002796143808509198     0.00010024743482511426     0.00037633247427754617    -4.163172542338166e-05    
Lambda        AB|SDSS|SDSS_i            6367.388652327333     All      -0.0005225619045579768    -4.162154956635913e-05     -0.0005911742624811209    0.00013027670391912186    
Lambda        AB|SDSS|SDSS_u            3055.8519350263855    All      -5.204783658102116e-05    3.0000541414527334e-05     0.00011830627391575134    3.2005321668406005e-05    
Lambda        AB|SDSS|SDSS_z            7570.294330678236     All      -9.688402541142422e-06    -3.4607433401265867e-07    -6.796768019545843e-06    2.7397951102449457e-06    
Lambda        AB|SDSS|SDSS_g            4018.2853166251275    All      -0.0006369577283047777    0.00020924471140709274     -0.0016098544215858782    0.0002037955648060603     
MWEBV         All|All|All               All                   All      -0.7506395759167357       -3.2443932280939336        0.28702992493190305       -0.799488779303429        
Redshift      All|All|All               All                   All      5.014081190605359         -0.0940066030855391        -7.222526786328354        -1.9861804441100597       
