#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5250.697669146387     All      0.8064005958542466         0.3748172775642544         -0.22091200379892117       -0.1504391735538907       
Zeropoint     AB|SDSS|SDSS_i            6367.388652327333     All      1.0085856283903005         0.03690636266906466        0.26947380036603774        -0.3044825260817879       
Zeropoint     AB|SDSS|SDSS_u            3055.8519350263855    All      -0.08056985153094429       0.03719784742042265        0.08743703559315073        0.04226272730541648       
Zeropoint     AB|SDSS|SDSS_z            7570.294330678236     All      0.08536953818463772        0.0026910097355781204      0.10252728036435159        -0.02235579512675682      
Zeropoint     AB|SDSS|SDSS_g            4018.2853166251275    All      -0.826988860017259         0.5485345395447538         -0.23211513611769785       0.43769499215436103       
Check         All|All|All               All                   All      0.9927970508809817         1.0001470369340737         0.006410976406921065       0.002680224697342082      
Lambda        AB|SDSS|SDSS_r            5250.697669146387     All      0.00024602041362864816     0.0001058252441838731      -0.0003783562116338692     -6.255047897023294e-05    
Lambda        AB|SDSS|SDSS_i            6367.388652327333     All      -0.00028916570590474023    -1.6784574777175806e-05    -0.00018977273487914948    8.025480991828045e-05     
Lambda        AB|SDSS|SDSS_u            3055.8519350263855    All      -7.526457539353482e-05     3.565538769071587e-05      9.002041096544482e-05      4.014747862752985e-05     
Lambda        AB|SDSS|SDSS_z            7570.294330678236     All      -8.13823507560512e-06      1.033673159609245e-07      -4.047054788349381e-06     2.503959571844358e-06     
Lambda        AB|SDSS|SDSS_g            4018.2853166251275    All      -0.0006963139103280234     0.00032582786991647257     -0.0012429347214107341     0.00027747873726750014    
MWEBV         All|All|All               All                   All      -0.7389472396325525        -3.2559378861632737        0.23129963379644858        -0.8095448197721851       
Redshift      All|All|All               All                   All      5.0390527910026            -0.4567977869095685        -4.114788017743602         -1.9738034320335645       
