Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 56879.2719323715 0.5297183958977855
Redshift 0.022589 0 F
Color -0.108541317384073 0.03018484657305439
X0 0.007123761444390413 0.000239595836188857
X1 -1.9289375015637016 0.3039344472271356
RestFrameMag_0_UX 15.57733129306949 0.0
RestFrameMag_0_B 16.011606492132156 0.036516926611065134
RestFrameMag_0_V 16.115833570496655 0.0
RestFrameMag_0_R 16.154400843041564 0.0
CovDayMaxDayMax 0.280601578952523 -1
CovDayMaxRestFrameMag_0_B 0.011322468719309286 -1
CovDayMaxX1 -0.11042983734222077 -1
CovDayMaxColor 0.0036226501760651597 -1
CovRestFrameMag_0_BDayMax 0.011322468719309288 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.001333485929117917 -1
CovRestFrameMag_0_BX1 -0.0005116785232141615 -1
CovRestFrameMag_0_BColor 0.0004834849468282158 -1
CovX1DayMax -0.1104298373422207 -1
CovX1RestFrameMag_0_B -0.0005116785232141571 -1
CovX1X1 0.09237614821126447 -1
CovX1Color 7.076241635476608e-05 -1
CovColorDayMax 0.00362265017606517 -1
CovColorRestFrameMag_0_B 0.00048348494682821615 -1
CovColorX1 7.076241635476068e-05 -1
CovColorColor 0.0009111249626388334 -1

dmu_estimate 0.09212075823067596
FirstPhase  -1.919180014160974
LastPhase  19.747002587058315
LatestNegPhase  -1.9140948822070765
EarliestPosPhase  2.153912890220304
NightsNegPhase  1
NightsPosPhase  7

salt3source   1
salt2_version   salt3-f22
