#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_b       4281.232843301183    All      -0.3238093554800373        0.3847326792569383        -0.8056514875787624       0.1948429253871939         
Zeropoint     VEGAHST|UVOT|UVOT_u       3415.49527427506     All      -0.6742378577443248        0.17811211007261463       0.21295699581407312       0.2871417186460806         
Zeropoint     VEGAHST|UVOT|UVOT_v       5319.035851965976    All      1.9883203497058388         0.43662892429443545       0.6012845411872414        -0.47860437891490276       
Check         All|All|All               All                  All      0.9902731364814766         0.9994737136239884        0.008590049422552148      0.0033802651183717503      
Lambda        VEGAHST|UVOT|UVOT_b       4281.232843301183    All      -0.0004368039123998776     -9.082980903122013e-05    -0.0032167792245800684    -3.085493498332638e-05     
Lambda        VEGAHST|UVOT|UVOT_u       3415.49527427506     All      -4.7353825711488284e-05    -9.332285000733157e-05    -0.0005865620044393523    -4.1149191825418426e-05    
Lambda        VEGAHST|UVOT|UVOT_v       5319.035851965976    All      0.001199535891422967       8.200018220900705e-05     0.0005018805930665726     -0.00034162152050939396    
MWEBV         All|All|All               All                  All      -1.5687721941903003        -3.8273178060649116       0.2675457728342767        -0.723743270682839         
Redshift      All|All|All               All                  All      0.19724769092906785        0.13295098677392758       3.399577087127015         0.1307639598636029         
