#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                    dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_b       4281.232843301183    All      -0.6907061559178223       0.41865348756005005       -2.085838043603463       0.26827356075055303        
Zeropoint     VEGAHST|UVOT|UVOT_u       3415.49527427506     All      -0.5825637073063875       0.1755615333044247        0.7222708308363157       0.27917796235680375        
Zeropoint     VEGAHST|UVOT|UVOT_v       5319.035851965976    All      2.267972583659869         0.4054339351307945        1.4069298721880865       -0.5439052951268101        
Check         All|All|All               All                  All      0.9947027204356594        0.9996489559952693        0.04336265942093931      0.0035462279805467123      
Lambda        VEGAHST|UVOT|UVOT_b       4281.232843301183    All      -0.0005759993063751341    -3.773868707715832e-05    -0.003767760177294426    7.191359937667581e-06      
Lambda        VEGAHST|UVOT|UVOT_u       3415.49527427506     All      -0.0003989334645525807    1.965726447657589e-05     0.0008209774001131843    0.00017298522242497163     
Lambda        VEGAHST|UVOT|UVOT_v       5319.035851965976    All      0.0010760347978466384     0.00012890463589933324    0.000290944878649627     -0.00029552791973039294    
MWEBV         All|All|All               All                  All      -1.4129669214952574       -3.8362997494893136       0.6201553066915768       -0.7616845442922835        
Redshift      All|All|All               All                  All      0.380602187831277         -0.69456629309812         -1.9886121823345537      -0.4389603745632674        
