#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7573.7816164140695    All      0.08146205464650741        -0.012907901623293583      0.021889500019961483       -0.029762571585363606     
Zeropoint     AB|SDSS|SDSS_r            5253.116423594359     All      0.9220428577683377         0.47097771771831276        0.36794081138250556        -0.13050724719564227      
Zeropoint     AB|SDSS|SDSS_u            3057.2596251898512    All      -0.028695785644419443      0.018458261727438696       0.14872616388893478        0.021996590170893227      
Zeropoint     AB|SDSS|SDSS_g            4020.1363554956224    All      -0.9493348505948829        0.5688090129323697         -0.06667294027912218       0.4915340946934896        
Zeropoint     AB|SDSS|SDSS_i            6370.321814850721     All      0.9689071997673395         -0.04656497043438179       -0.47996851873795543       -0.35219148445238474      
Check         All|All|All               All                   All      0.9943814759428823         0.9987721203204458         -0.008084983725675787      0.0010693816309921833     
Lambda        AB|SDSS|SDSS_z            7573.7816164140695    All      -1.1350876557704029e-05    -1.3957393711797108e-06    -8.014178808386855e-05     -3.336442283275815e-07    
Lambda        AB|SDSS|SDSS_r            5253.116423594359     All      9.684193787354273e-05      9.895433170398347e-05      -0.002132806631417512      -9.448928816734804e-05    
Lambda        AB|SDSS|SDSS_u            3057.2596251898512    All      -2.031726334313262e-05     1.096753752373312e-05      9.936634559123126e-05      1.4624752512333688e-05    
Lambda        AB|SDSS|SDSS_g            4020.1363554956224    All      -0.000941499730527029      0.0004428536473179052      -0.00041857622659776544    0.0004322503044954529     
Lambda        AB|SDSS|SDSS_i            6370.321814850721     All      -0.0003394224745541889     -1.4580990317811518e-05    -0.0006697822569618931     7.592225245361499e-05     
MWEBV         All|All|All               All                   All      -0.612013156617742         -3.320896654105532         -0.0033681714903421867     -0.8825227807758851       
Redshift      All|All|All               All                   All      7.179295837991705          -0.8857803690588639        3.044251189143976          -2.491209704930894        
