#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7573.7816164140695    All      0.09947598132280387       -0.010462172330427677      0.10758298819181608       -0.03100953885047321       
Zeropoint     AB|SDSS|SDSS_r            5253.116423594359     All      0.9247666051677772        0.4508085439569598         0.37574454439334254       -0.13761598000942327       
Zeropoint     AB|SDSS|SDSS_u            3057.2596251898512    All      -0.029051455939888605     0.015640601599464787       0.08511743416029115       0.01835607362192615        
Zeropoint     AB|SDSS|SDSS_g            4020.1363554956224    All      -1.017222398558427        0.578830316946366          -0.46413133237312304      0.49917482832888443        
Zeropoint     AB|SDSS|SDSS_i            6370.321814850721     All      1.0164247814278755        -0.0353109296433729        -0.10090725921439413      -0.347087949701505         
Check         All|All|All               All                   All      0.9943935134201408        0.99950636052899           0.003406375157932587      0.0018174333894090955      
Lambda        AB|SDSS|SDSS_z            7573.7816164140695    All      -6.760133434560427e-06    -2.977098844106768e-07     -3.464864619242868e-05    5.588140136114076e-07      
Lambda        AB|SDSS|SDSS_r            5253.116423594359     All      0.00013682674917641838    9.285211764221555e-05      -0.002252941706377687     -0.00011486242518174136    
Lambda        AB|SDSS|SDSS_u            3057.2596251898512    All      -2.906348197291239e-05    1.6560458673155227e-05     0.00010856291630737475    1.9705882794846242e-05     
Lambda        AB|SDSS|SDSS_g            4020.1363554956224    All      -0.0009419417688706144    0.0004218440253169344      -0.0005979432196417688    0.0004175464407480868      
Lambda        AB|SDSS|SDSS_i            6370.321814850721     All      -0.000396339757319524     -1.7948345510343848e-05    -0.0010363711411900244    7.70060473831097e-05       
MWEBV         All|All|All               All                   All      -0.6358155747213989       -3.301510812492303         0.1990283449835305        -0.8594229167779025        
Redshift      All|All|All               All                   All      7.307020617206568         -0.731298843575523         5.037981070234351         -2.39352314467752          
