#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5469.059673926933     All      0.7898750294248759        0.1855383401228039         -2.1448876403954156       -0.29256882607043777      
Zeropoint     AB|PS|PS_g                3555.5791460168944    All      -0.9851653076926628       0.24397756446461472        -1.8858978883976383       0.3162133099175248        
Zeropoint     AB|PS|PS_z                6285.284053230185     All      0.5718626030140905        0.04842571197745116        -0.4412729857534674       -0.19019260263350635      
Zeropoint     AB|PS|PS_r                4515.344141691403     All      0.6219589222202713        0.5200510037930428         4.488323689703874         0.16709851044371415       
Check         All|All|All               All                   All      0.9985312469665747        0.9979926203579126         0.016265175157352374      0.0005503916572948131     
Lambda        AB|PS|PS_i                5469.059673926933     All      0.00011476766999569867    1.958880774983205e-05      -0.000655731706525964     -6.026518112049632e-05    
Lambda        AB|PS|PS_g                3555.5791460168944    All      -0.0015373012660261027    0.00034990851821356056     -0.0033068257994660955    0.0004671578663559636     
Lambda        AB|PS|PS_z                6285.284053230185     All      2.3286021580562973e-05    8.476494703357297e-06      -9.76353050422693e-05     -9.180965364168265e-06    
Lambda        AB|PS|PS_r                4515.344141691403     All      -0.0002939462665257939    -0.00021315657257152412    -0.0021097857805927895    -6.783418826936235e-05    
MWEBV         All|All|All               All                   All      -0.5574019739648066       -2.6399347442179533        -0.43994860750367243      -0.6979823223065634       
Redshift      All|All|All               All                   All      5.853406903755882         0.231363335681678          10.769645006700138        -1.3506847564026987       
