#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                7323.473564803688    All      0.6415297515030344         -0.04526615677331591      0.43544277951746196       -0.2042802109063381       
Zeropoint     AB|PS|PS_r                5261.178838953762    All      0.31847566227919455        0.42723517623990404       -0.2552577652063895       0.02403557007408278       
Zeropoint     AB|PS|PS_i                6372.427022729968    All      0.8681295697023603         -0.05922442233838865      -0.2717560610372009       -0.3141969291214481       
Zeropoint     AB|PS|PS_g                4142.881954561738    All      -0.8314623614334926        0.6757404565266967        0.09274986110578481       0.495084543625955         
Check         All|All|All               All                  All      0.9966726220510967         0.9984850536548961        0.00117881437965639       0.0006429736722515789     
Lambda        AB|PS|PS_z                7323.473564803688    All      4.612508906815832e-05      -4.607753932007092e-05    -0.0003972488330588466    -4.776082036393852e-05    
Lambda        AB|PS|PS_r                5261.178838953762    All      1.7576344515827998e-05     0.00010523812623183424    -0.0005285145105024582    4.9691510674819095e-06    
Lambda        AB|PS|PS_i                6372.427022729968    All      -0.00022714973710432498    -2.041830215680497e-05    -0.0003588426722785158    5.132572926559067e-05     
Lambda        AB|PS|PS_g                4142.881954561738    All      -0.0007089379674811797     0.00041977857747291296    -0.0006439124326782159    0.000338925257875302      
MWEBV         All|All|All               All                  All      -0.5142881163733963        -3.3275565265149964       0.05460811530188748       -0.9139371655847692       
Redshift      All|All|All               All                  All      5.384113662665046          -0.09657156738569483      -0.4679823440398238       -1.8061233912652106       
