#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                7323.473564803688    All      0.628646777259332          -0.04593290237675518       0.4012808893561759        -0.20182547159423164      
Zeropoint     AB|PS|PS_r                5261.178838953762    All      0.35567345702314146        0.43347446749155694        -0.20476495605601386      0.01620462914942722       
Zeropoint     AB|PS|PS_i                6372.427022729968    All      0.8689630839859128         -0.05781404245652766       -0.24062478948495558      -0.3126197793491464       
Zeropoint     AB|PS|PS_g                4142.881954561738    All      -0.8568289117944711        0.6688097013508809         0.044240381383015004      0.49892493335336324       
Check         All|All|All               All                  All      0.9964544064739154         0.998537224009155          0.00013152519822146047    0.0006843115594123983     
Lambda        AB|PS|PS_z                7323.473564803688    All      2.5648874274058404e-05     -4.504755433658131e-05     -0.0004015760429747958    -4.094864706781327e-05    
Lambda        AB|PS|PS_r                5261.178838953762    All      -3.478003517411322e-05     7.844718057523493e-05      -0.0006989621679506486    5.690357895801069e-06     
Lambda        AB|PS|PS_i                6372.427022729968    All      -0.00028670110052103517    -2.4636890300235867e-05    -0.0003996836947642639    6.752688730882578e-05     
Lambda        AB|PS|PS_g                4142.881954561738    All      -0.0006648268091235131     0.00035328665756952907     -0.000734721229985644     0.00029884581699837423    
MWEBV         All|All|All               All                  All      -0.5197650361742903        -3.3245097575544946        0.060980515266201296      -0.9108763487911189       
Redshift      All|All|All               All                  All      5.846866202699185          0.1485087701979637         0.27342891918623047       -1.843940609307071        
