#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4300.156011397537    All      -0.4558131377474892        0.27938780453329315        -0.1735706198687792        0.23173347470969372       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7434.60710694082     All      0.4108085409676118         -0.029590426501613365      0.22027649629522972        -0.1336225040640973       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5252.98658431798     All      0.5558029941063529         0.18803875181596652        -0.24701915494453885       -0.13081624316540336      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4697.517611687513    All      -0.33401738023647454       0.4586249634897399         0.06477576783988637        0.2610803335245208        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3514.191275090379    All      -0.3272710698290888        0.13125433802887443        0.02283542947984496        0.1503758507155381        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6080.716575414858    All      1.143940457316535          -0.02927730133102102       0.11420593766609533        -0.3770591352401632       
Check         All|All|All                              All                  All      0.9934504045774473         0.9984381300352396         0.0015038564677383182      0.0016917764800887802     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4300.156011397537    All      -0.0002488265177962302     5.151477180842149e-05      -0.0007611254010827089     6.38655080313748e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7434.60710694082     All      -5.589932335397577e-05     2.6523938100856448e-06     -4.910785733428058e-05     1.688076244601465e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5252.98658431798     All      0.0001642761899581435      8.90016185941307e-06       -0.0009044837431214665     -9.097403938318286e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4697.517611687513    All      -0.00010272970602171028    -0.00012811037812722958    -0.0013823048236560412     -6.995323548742571e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3514.191275090379    All      -0.00047818954559082324    0.00014003943700869643     -0.00033931268955345707    0.00018623555183410297    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6080.716575414858    All      -0.00012746781939746758    -1.810142091054502e-05     -0.00028622812435392654    2.2851187443138314e-05    
MWEBV         All|All|All                              All                  All      -1.0244507944692973        -3.9192615383525364        0.05822511369686367        -0.9403367763214231       
Redshift      All|All|All                              All                  All      4.868800074268644          1.198111267664359          9.027327100351611          -0.7928159589107864       
