#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6773.214132498873    All      0.4259699797475295         -0.031159592102980582     -0.03462831766944119      -0.15044744344339528       
Zeropoint     AB|PS|PS_r                4865.872806159418    All      -0.04204842448030566       0.5356668793599084        0.04066269067924122       0.18999546985774274        
Zeropoint     AB|PS|PS_i                5893.6258029395      All      1.3047342358628924         0.07023368338732183       -0.16849792076149284      -0.4096367321237443        
Zeropoint     AB|PS|PS_g                3831.600722745876    All      -0.6932581190093812        0.4242693757145588        0.16424966832532528       0.3713451789200357         
Check         All|All|All               All                  All      0.9953976721207348         0.9990103463588085        0.001786120573632477      0.0012564732106388754      
Lambda        AB|PS|PS_z                6773.214132498873    All      -0.0005898491712065521     -5.66167225867664e-06     -0.0004693410476672364    0.00016934455225324564     
Lambda        AB|PS|PS_r                4865.872806159418    All      -0.0001258630512692697     -1.992118802029175e-05    -0.0009410316771831825    -7.4851715065531105e-06    
Lambda        AB|PS|PS_i                5893.6258029395      All      -0.00031051224500193864    3.806361107071768e-06     0.0003178207645798127     0.00011656679180991686     
Lambda        AB|PS|PS_g                3831.600722745876    All      -0.0009051963989206655     0.000366589290590896      -0.0009867425866896882    0.00037022864988113166     
MWEBV         All|All|All               All                  All      -0.49674561976328535       -2.9546714519335993       0.05912856274729872       -0.7979886707081218        
Redshift      All|All|All               All                  All      5.141414849854598          0.7603977707255183        5.461083231604119         -1.1833383310746959        
