#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                6773.214132498873    All      0.48544302004846784        -0.02670018525847695      0.11406939137796197        -0.16173149794402739      
Zeropoint     AB|PS|PS_r                4865.872806159418    All      -0.08990601209188465       0.5300585686393688        -0.02314851400441469       0.200909848310309         
Zeropoint     AB|PS|PS_i                5893.6258029395      All      1.3434423443540722         0.07358154139485151       -0.02639667092779595       -0.4148134028913123       
Zeropoint     AB|PS|PS_g                3831.600722745876    All      -0.7441313761435058        0.42223801975396213       -0.06305022303542056       0.37711124278228514       
Check         All|All|All               All                  All      0.9948479761671497         0.9991779445297055        0.0014739834103307814      0.0014761902572544283     
Lambda        AB|PS|PS_z                6773.214132498873    All      -0.0005122360978368227     2.315303719046527e-05     -0.00013648976402977884    0.00016830294376391153    
Lambda        AB|PS|PS_r                4865.872806159418    All      -0.00014538271589062976    1.5958889448088283e-05    -0.0009444359177755909     1.0408431466925764e-05    
Lambda        AB|PS|PS_i                5893.6258029395      All      -0.00023808934975152644    -4.685811747848765e-06    0.000278985888403957       8.847706993974588e-05     
Lambda        AB|PS|PS_g                3831.600722745876    All      -0.0009391921476138317     0.00043446812253029497    -0.0007223391388784355     0.0004152116638820134     
MWEBV         All|All|All               All                  All      -0.4959221653625807        -2.9587057869189692       0.03904355423251882        -0.8004673142105972       
Redshift      All|All|All               All                  All      4.644562695578959          0.40489512134307404       3.781904531958901          -1.212230180246748        
