#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6185.9817253503215    All      1.0004018594567015         -0.03967038115173516       0.022736125773437088       -0.33777113725650676      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3575.026518253978     All      -0.3595484343322817        0.1318224729641937         -0.04182617937882327       0.15818915984416176       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5343.92264646613      All      0.7362878028806283         0.17851668091815043        -0.10089907277102128       -0.18618706675312957      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4778.837780056819     All      -0.18001919317959347       0.42168786387430934        0.10379132352777987        0.20062751412938395       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7563.309871182055     All      0.2929807048655145         -0.02714219755177716       0.11508738304992772        -0.09913873971969106      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4374.597331211028     All      -0.49596602581629773       0.33322378494382576        -0.09745542540053886       0.2657454128600162        
Check         All|All|All                              All                   All      0.9941367138746713         0.9984382239969669         0.001434154800761256       0.001465143104234512      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6185.9817253503215    All      -0.00015382667432966012    5.979914907342156e-06      -4.9634449212339756e-05    4.983930608954779e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3575.026518253978     All      -0.00019510943187286126    4.868609510911087e-05      -1.6906509994738345e-05    7.865776388035603e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5343.92264646613      All      0.00010948452976841514     -1.8528272247824365e-05    -0.0010062526162636404     -8.660241382552387e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4778.837780056819     All      -6.799122291822483e-05     -8.703420838961377e-05     -0.0006123009255961961     -3.352710497656932e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7563.309871182055     All      -6.314158448189693e-05     3.4605387994316505e-06     -5.5428625968022125e-05    1.9220977695019398e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4374.597331211028     All      -0.00025239827177948675    2.579156000612635e-05      -0.0007233113281944802     5.833751785764473e-05     
MWEBV         All|All|All                              All                   All      -1.1200540900240337        -3.990519288811578         0.003701139462020109       -0.9348397858896573       
Redshift      All|All|All                              All                   All      5.175760028908748          1.171458651622892          7.369151051250111          -0.9754813300536125       
