#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6185.9817253503215    All      1.0248979729348815        -0.06111528048791115       -0.054407183091115315      -0.3561781881127933       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3575.026518253978     All      -0.3151013694668988       0.12011547820947044        -0.05492132681958799       0.1393135589257608        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5343.92264646613      All      0.7216232368554998        0.19289281146477322        0.04592710104009096        -0.17017537868020655      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4778.837780056819     All      -0.24296629534645914      0.4425015819164102         0.017146070795349456       0.22404458923838186       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7563.309871182055     All      0.31847744242421483       -0.03567174930667605       0.11815821416944672        -0.11008518449175136      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4374.597331211028     All      -0.5126956270161525       0.33941526121989973        -0.07117395612102233       0.2743843831424991        
Check         All|All|All                              All                   All      0.9942353603850856        0.9981381030159664         0.0007289199731614904      0.0013037800218905216     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6185.9817253503215    All      -0.0002289847326499784    -1.6474855669791998e-05    -0.0004606350949565938     4.8665429632290894e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3575.026518253978     All      -0.0004280859698824375    0.00011833534055019583     -0.0002698177570595086     0.00016594667026562887    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5343.92264646613      All      0.00011789750301901706    -4.185565557544014e-06     -0.001002923856901467      -8.452235731988993e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4778.837780056819     All      -6.761066397533397e-05    -7.977909881179696e-05     -0.0006674671645913252     -3.374965354575718e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7563.309871182055     All      -7.574443978192047e-05    2.738561035270859e-06      -0.00010660582952957577    2.080716683115292e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4374.597331211028     All      -0.0002713063062178647    7.770247213976196e-05      -0.0004841854730234915     9.207666728124051e-05     
MWEBV         All|All|All                              All                   All      -1.0824232867659997       -4.002401483527773         -0.0016574340526461448     -0.9512069267840346       
Redshift      All|All|All                              All                   All      5.634891854738822         0.6732062038011577         5.1580787246970825         -1.3860028878352326       
