#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4037.5773467685876    All      -0.874426344605753         0.5922674520981275        -0.450264500130082         0.45765718572835806        
Zeropoint     AB|SDSS|SDSS_i            6397.958869257323     All      1.0212575659484115         0.05268546290331244       0.5054850703573255         -0.29293832195639924       
Zeropoint     AB|SDSS|SDSS_u            3070.5232644614975    All      -0.0707431034958042        0.02402506060370513       -0.0007342305885060796     0.03083634348823583        
Zeropoint     AB|SDSS|SDSS_z            7606.639770315901     All      0.11012536844637824        0.004608222345936497      0.15862441683744954        -0.02729172670804924       
Zeropoint     AB|SDSS|SDSS_r            5275.906585319727     All      0.8065949158653852         0.3262078219016473        -0.2103315400328043        -0.16586401138378898       
Check         All|All|All               All                   All      0.9928084021586181         0.9997940198527289        0.002779216443382637       0.0023994691683564273      
Lambda        AB|SDSS|SDSS_g            4037.5773467685876    All      -0.0007993656584400508     0.0004603460980549593     -0.0009345574824258945     0.00036862455420282167     
Lambda        AB|SDSS|SDSS_i            6397.958869257323     All      -1.8766583521826707e-05    -7.719796549393407e-06    -0.0001350147995184885     -2.4267884565471103e-06    
Lambda        AB|SDSS|SDSS_u            3070.5232644614975    All      -6.881405409677031e-05     2.394587454036601e-05     -2.4296842638010113e-07    3.0204117903166855e-05     
Lambda        AB|SDSS|SDSS_z            7606.639770315901     All      -2.454472618022979e-06     8.458122800235181e-07     2.058636822563195e-05      1.9936864315824348e-06     
Lambda        AB|SDSS|SDSS_r            5275.906585319727     All      0.0002542890271399887      0.00011021256096970729    -0.001067810602692565      -9.458192792806609e-05     
MWEBV         All|All|All               All                   All      -0.7206755330565149        -3.29975639158846         0.1301837411646467         -0.8342819824079442        
Redshift      All|All|All               All                   All      5.40921113910069           -0.7206019689569132       0.7232203112494062         -1.9644077932952555        
