#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4037.5773467685876    All      -0.823013994924502        0.5686857056947048         -0.11387025520263562       0.4482408715493309        
Zeropoint     AB|SDSS|SDSS_i            6397.958869257323     All      1.0081808169426578        0.013598579236884234       0.21172395843820496        -0.3145198877523582       
Zeropoint     AB|SDSS|SDSS_u            3070.5232644614975    All      -0.07518218785779872      0.03370286533321831        0.04673678241721869        0.03755309198116482       
Zeropoint     AB|SDSS|SDSS_z            7606.639770315901     All      0.11021685617904213       -3.6149632975934765e-05    0.11297262944340607        -0.030871581621586788     
Zeropoint     AB|SDSS|SDSS_r            5275.906585319727     All      0.7724697733352186        0.3841638961549876         -0.2542086288899886        -0.13782816265086628      
Check         All|All|All               All                   All      0.9926712636746177        1.000114896786819          0.0033544862062055425      0.0025743315056844795     
Lambda        AB|SDSS|SDSS_g            4037.5773467685876    All      -0.0007023873941316628    0.0003620438611835798      -0.000911297830677078      0.00030605324186074365    
Lambda        AB|SDSS|SDSS_i            6397.958869257323     All      -0.000297147069550307     -2.2639821676305905e-05    -0.0004166685123160713     7.082203963736135e-05     
Lambda        AB|SDSS|SDSS_u            3070.5232644614975    All      -6.750055528973366e-05    3.112977965092417e-05      5.040111958039989e-05      3.437631541471421e-05     
Lambda        AB|SDSS|SDSS_z            7606.639770315901     All      -5.179630348798955e-06    1.775130199506202e-07      -1.8820020856573882e-06    1.66101273062362e-06      
Lambda        AB|SDSS|SDSS_r            5275.906585319727     All      0.000222434597502442      9.677794753395536e-05      -0.0009213351485368341     -8.204546101564591e-05    
MWEBV         All|All|All               All                   All      -0.7279292112195903       -3.2885467108155098        0.14179393350901712        -0.8277497494153694       
Redshift      All|All|All               All                   All      5.620100068110813         -0.5716345414748858        -0.8426824954591119        -2.0544567138317906       
