#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                3899.3763205226924    All      -0.620854974002346        0.4836619565850242         0.23256999150157087        0.37015603238536987       
Zeropoint     AB|PS|PS_z                6893.022711189065     All      0.7564508077619025        -0.032674042308222795      0.9808152500703066         -0.21327464521514444      
Zeropoint     AB|PS|PS_i                5997.875708075972     All      1.0554762133686675        0.06797135343870053        -0.9443137140929793        -0.3638032048080473       
Zeropoint     AB|PS|PS_r                4951.943214327384     All      -0.19512289103087926      0.47955524100427027        -0.2689895739824022        0.2077610945926907        
Check         All|All|All               All                   All      0.9959491560973448        0.9985145087197722         8.195349649586792e-05      0.0008392769548688506     
Lambda        AB|PS|PS_g                3899.3763205226924    All      -0.0005971496437594821    0.00041822955968350933     -4.655456156275963e-05     0.0003286648952797698     
Lambda        AB|PS|PS_z                6893.022711189065     All      -0.0006067529030996913    3.012266852475373e-05      -0.0008440485947141798     0.00016978531405491935    
Lambda        AB|PS|PS_i                5997.875708075972     All      -0.0001314057360692643    -1.2788522882788315e-05    -1.3707203046815267e-05    3.8025839208163616e-05    
Lambda        AB|PS|PS_r                4951.943214327384     All      -0.0002482686010069292    -7.966697845962836e-05     -0.001558412413634563      -1.462569319890368e-05    
MWEBV         All|All|All               All                   All      -0.4969435985346684       -3.0404637158145675        0.05479941548505089        -0.8260627352959111       
Redshift      All|All|All               All                   All      6.118587705979779         0.0422617897722688         8.796332579424593          -1.5867193331681892       
