#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                3899.3763205226924    All      -0.5955173466220114        0.4674729123513188        0.23041794359310863        0.3565333932396046        
Zeropoint     AB|PS|PS_z                6893.022711189065     All      0.6846635835732248         -0.025283320018942845     0.8242554769138266         -0.19447032679315093      
Zeropoint     AB|PS|PS_i                5997.875708075972     All      1.0558300896726118         0.07836249177017862       -0.8613348169710044        -0.35683077127930324      
Zeropoint     AB|PS|PS_r                4951.943214327384     All      -0.14895480517433557       0.47813840798056617       -0.19115622592883463       0.19573446586405585       
Check         All|All|All               All                   All      0.9960215214494896         0.9986904920831208        0.0021823776070961642      0.0009667610312062702     
Lambda        AB|PS|PS_g                3899.3763205226924    All      -0.0005553540491943579     0.00035990397868614765    -0.0002566341554453811     0.00028667724709592455    
Lambda        AB|PS|PS_z                6893.022711189065     All      -0.0005993049893307967     2.041469032394835e-05     -0.0008062589845633616     0.00016588345236793632    
Lambda        AB|PS|PS_i                5997.875708075972     All      -0.00021837015969374413    -2.320174833361076e-05    -0.00024473329821563455    5.265144935002979e-05     
Lambda        AB|PS|PS_r                4951.943214327384     All      -0.00029949684848952756    -8.372151613209981e-05    -0.0017618161107222374     -8.336636746423057e-06    
MWEBV         All|All|All               All                   All      -0.4978323291110862        -3.0380297506424014       0.06527170275683059        -0.8245130938936903       
Redshift      All|All|All               All                   All      6.491681248978308          0.2996854384161196        8.55676154175261           -1.635087778287323        
