#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3772.7887392808584    All      -0.5810798840020174        0.7154772734530468         1.9307069993818409        0.5084899076125005        
Zeropoint     AB|PS|PS_z                6669.2507536424055    All      1.2814947805862758         0.12049431242751041        2.423240828657569         -0.27003793961976497      
Zeropoint     AB|PS|PS_r                4791.185579664262     All      -0.005982489363024368      -0.2448718662389382        -3.5874065358506693       -0.2379036066082917       
Zeropoint     AB|PS|PS_i                5803.163396140736     All      0.3049836935932317         0.40419247761924737        -0.7680182002347248       -0.001957560067147105     
Check         All|All|All               All                   All      0.9994161008144657         0.9952921972608664         -0.0014769080459838824    -0.0014091986827033253    
Lambda        AB|PS|PS_g                3772.7887392808584    All      -0.0006238364778412666     0.0007147016443939361      0.0016975279111701507     0.000511758777220037      
Lambda        AB|PS|PS_z                6669.2507536424055    All      -0.0012709117920213769     -0.00016166931098804426    -0.002671304900727771     0.0002421087002063935     
Lambda        AB|PS|PS_r                4791.185579664262     All      -0.00030630898902245674    3.730586471163829e-05      -0.00119971678524115      5.838881242868322e-05     
Lambda        AB|PS|PS_i                5803.163396140736     All      -4.9885915789202624e-05    -0.00012660906546197088    0.0006716314293987941     4.980572037415813e-06     
MWEBV         All|All|All               All                   All      -0.485863385495942         -2.8582157137007513        0.1797930945888784        -0.7647298613179586       
Redshift      All|All|All               All                   All      6.321835340007192          0.6671632934414973         3.6138080401234407        -1.6806450635403205       
