#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                3772.7887392808584    All      -0.5717085867183866       0.660932224733557          1.8037932717796856         0.48200667416474285        
Zeropoint     AB|PS|PS_z                6669.2507536424055    All      1.1986990060479132        0.21362296967133432        2.768650513605575          -0.19731951661648706       
Zeropoint     AB|PS|PS_r                4791.185579664262     All      -0.192475544670353        -0.21157398505451397       -4.503440478776044         -0.20718885536693127       
Zeropoint     AB|PS|PS_i                5803.163396140736     All      0.5929712411975957        0.3225862027935733         -0.03352169392147886       -0.08956922165187786       
Check         All|All|All               All                   All      1.0274861158567694        0.9855674121439506         0.03548161268773775        -0.012070919470553332      
Lambda        AB|PS|PS_g                3772.7887392808584    All      -0.0005663633231916219    0.0006041410698940659      0.0015485001475671466      0.00045037423886071237     
Lambda        AB|PS|PS_z                6669.2507536424055    All      -0.0011796975674782171    -0.00020472614432197662    -0.003007717231472928      0.0001833596620340226      
Lambda        AB|PS|PS_r                4791.185579664262     All      -0.0002785861982462201    -3.698367145137755e-06     -0.0013244657080458853     3.0435188631529653e-05     
Lambda        AB|PS|PS_i                5803.163396140736     All      -0.0001574565968238432    -0.00015363889025199508    -0.00016061105860463133    -5.9237812563473484e-06    
MWEBV         All|All|All               All                   All      -0.484381940890684        -2.8599917106822303        0.18863599327336722        -0.7653962992550799        
Redshift      All|All|All               All                   All      6.808005325479694         1.7556387726155975         10.797416260876025         -1.1638829072065413        
