#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_b       4309.616944953224    All      -0.3327819313618628        0.4659526480359055        -0.4888671685521817       0.23835823365020176        
Zeropoint     VEGAHST|UVOT|UVOT_v       5354.300473125109    All      1.9193084081666467         0.37110801030046936       0.39959719549439443       -0.4864676163138258        
Zeropoint     VEGAHST|UVOT|UVOT_u       3438.139631310857    All      -0.5634734656329816        0.1632267910919083        0.22371603676282215       0.24669360057374481        
Check         All|All|All               All                  All      1.0230530111718021         1.0002874494282832        0.13444606370503487       -0.0014157820898792195     
Lambda        VEGAHST|UVOT|UVOT_b       4309.616944953224    All      -0.00028331169138703634    -8.419035376323143e-05    -0.0017389321802484606    -1.2740186016362929e-05    
Lambda        VEGAHST|UVOT|UVOT_v       5354.300473125109    All      0.000779385854576632       0.00011169700051204396    0.00022139851677752259    -0.00020760822712249753    
Lambda        VEGAHST|UVOT|UVOT_u       3438.139631310857    All      -0.00016973531655381006    -0.0001068588413962071    -0.001530995816267766     -4.784037513715993e-05     
MWEBV         All|All|All               All                  All      -1.5259521054545728        -3.8612760995731854       0.29264710766295776       -0.7476323584263151        
Redshift      All|All|All               All                  All      -0.3877619684479407        0.0977759639432918        -3.476232384932748        0.0030273927216436375      
