#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_b       4309.616944953224    All      -0.4746036905195035       0.46842134709352834       -0.4607380458973835       0.28661365645768416        
Zeropoint     VEGAHST|UVOT|UVOT_v       5354.300473125109    All      2.115101108548469         0.36668186747199627       0.4387994882113298        -0.5499360622773684        
Zeropoint     VEGAHST|UVOT|UVOT_u       3438.139631310857    All      -0.6525278229664888       0.16555994622295955       0.026526666665340932      0.26766186401387626        
Check         All|All|All               All                  All      0.9879695950624768        1.0006631607884842        0.004588108979287249      0.00433945819419207        
Lambda        VEGAHST|UVOT|UVOT_b       4309.616944953224    All      -0.0002471774518736826    -5.989754821972406e-05    -0.0016746824177314723    -1.3730158819300717e-05    
Lambda        VEGAHST|UVOT|UVOT_v       5354.300473125109    All      0.000721024367909587      0.00011905657910929241    0.00021800198168308733    -0.00018635228576863573    
Lambda        VEGAHST|UVOT|UVOT_u       3438.139631310857    All      -0.0002762630921463436    -6.893015623743479e-05    -0.0013394956277441633    7.759620491191668e-06      
MWEBV         All|All|All               All                  All      -1.4931691339244795       -3.8738414377862185       0.22442361934483457       -0.7654482957692171        
Redshift      All|All|All               All                  All      -0.7048127257650834       -0.15778564675290596      -5.777098626279204        -0.07962066214595236       
