#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_u       3436.573330000049    All      -0.8386380694130029        0.18332940247081098       -0.11619269471746518      0.32770328101222185        
Zeropoint     VEGAHST|UVOT|UVOT_b       4307.653627754444    All      -0.20202248466268036       0.45415639015695675       -0.17358776188062253      0.20599262261954132        
Zeropoint     VEGAHST|UVOT|UVOT_v       5351.861233085775    All      2.0409490784601645         0.36122746553264307       0.2988042783427791        -0.533806327946111         
Check         All|All|All               All                  All      1.0002885243844812         0.9987132581604108        0.009023821744691407      -0.0001104243143478234     
Lambda        VEGAHST|UVOT|UVOT_u       3436.573330000049    All      -0.0006555032663051646     1.8190230618746973e-05    -0.0012457836580999106    0.00016385053282222276     
Lambda        VEGAHST|UVOT|UVOT_b       4307.653627754444    All      -0.00020624295634969828    -1.519026491691975e-05    -0.0016673632035509051    -1.2174614805764e-05       
Lambda        VEGAHST|UVOT|UVOT_v       5351.861233085775    All      0.0010101158771533476      7.95262074214429e-05      -0.0013034315472356087    -0.00036128983443100426    
MWEBV         All|All|All               All                  All      -1.5462752616330628        -3.8797272759243384       0.09740366557094982       -0.7557354111101158        
Redshift      All|All|All               All                  All      -0.18704306557613667       -0.3346959367428681       0.4620679276936879        -0.027475428362441767      
