#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_u       3436.573330000049    All      -0.659896909524403         0.15978876988764767       -0.0256194816047678       0.26585531284436403        
Zeropoint     VEGAHST|UVOT|UVOT_b       4307.653627754444    All      -0.4437806869797178        0.49187303859783427       -0.23037646403520007      0.29449255700479793        
Zeropoint     VEGAHST|UVOT|UVOT_v       5351.861233085775    All      2.090597260710839          0.3488756244482083        0.2580919585770188        -0.555818579132762         
Check         All|All|All               All                  All      0.9869196642067183         1.0005374329336902        0.0020960129370509173     0.0045292907163999585      
Lambda        VEGAHST|UVOT|UVOT_u       3436.573330000049    All      -0.00022727328769090347    4.1253167080907764e-07    -0.0005082390025838692    5.148438957906269e-05      
Lambda        VEGAHST|UVOT|UVOT_b       4307.653627754444    All      -0.00032323452930132677    -5.737868357368155e-05    -0.0017920259733315484    6.628106638834871e-06      
Lambda        VEGAHST|UVOT|UVOT_v       5351.861233085775    All      0.0008981978270110312      4.564293826222096e-05     -0.0013409911253684202    -0.00033754745046393606    
MWEBV         All|All|All               All                  All      -1.5068961356322532        -3.885509936344178        0.06916945288368605       -0.7717060539631465        
Redshift      All|All|All               All                  All      -0.7312850963374589        -0.06733485992098664      -1.8060997584522065       0.13567249821124427        
