#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3122.91338002949      All      -0.03285712496803386       0.04110456925126016        0.1352378101620592         0.030126799417425455       
Zeropoint     AB|SDSS|SDSS_r            5365.9255599127455    All      1.005125356062648          0.542608768311581          1.1501815805121176         -0.0993295476289599        
Zeropoint     AB|SDSS|SDSS_z            7736.426357919178     All      0.08571324665573908        -0.007406505012319542      0.011457271623297027       -0.029820881255917565      
Zeropoint     AB|SDSS|SDSS_g            4106.4676060479       All      -1.0285259350938176        0.5409621729237202         -0.8632173635234531        0.4727124850862622         
Zeropoint     AB|SDSS|SDSS_i            6507.122609665731     All      0.9662821855202763         -0.11675667493520336       -0.4244584666027263        -0.3717230196677698        
Check         All|All|All               All                   All      0.9957377281768119         1.0005123305390384         0.00920083217129447        0.001965835951040329       
Lambda        AB|SDSS|SDSS_u            3122.91338002949      All      -3.1688597344024016e-05    3.7183096344852296e-05     0.00011862651919408384     2.772753316562404e-05      
Lambda        AB|SDSS|SDSS_r            5365.9255599127455    All      0.0002401574893814467      2.4767884526244172e-06     -0.000922763365166757      -0.0001185991146438658     
Lambda        AB|SDSS|SDSS_z            7736.426357919178     All      1.7975442703415406e-06     1.300685117747205e-07      7.454747681932855e-06      -2.1048056226124396e-07    
Lambda        AB|SDSS|SDSS_g            4106.4676060479       All      -0.001008718357552267      0.00040134646842082065     -0.0013016436597219406     0.0004012181252740006      
Lambda        AB|SDSS|SDSS_i            6507.122609665731     All      -0.00034171043204744064    -1.0737891622139408e-05    -0.00031716981279401385    9.365481305293856e-05      
MWEBV         All|All|All               All                   All      -0.6621072521011269        -3.3677283214395004        0.2607419604183786         -0.8696740784237967        
Redshift      All|All|All               All                   All      7.178135339994718          -0.8321256278829736        4.047595843061856          -2.4285799144554456        
