#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3122.91338002949      All      -0.045231356430470326      0.077133515683947         0.26607447134388007        0.05173194615261528       
Zeropoint     AB|SDSS|SDSS_r            5365.9255599127455    All      1.04618749501548           0.5772803927312609        1.0306271459273542         -0.10674631377595167      
Zeropoint     AB|SDSS|SDSS_z            7736.426357919178     All      0.06549163991095498        -0.0046353666398601945    0.015698544442677154       -0.02214211920591805      
Zeropoint     AB|SDSS|SDSS_g            4106.4676060479       All      -0.9421040615627698        0.43006415407340626       -1.1420751154594067        0.39599476378444215       
Zeropoint     AB|SDSS|SDSS_i            6507.122609665731     All      0.8720281089217045         -0.07989616167414226      -0.1655766741983533        -0.31746197881466487      
Check         All|All|All               All                   All      0.9963718258548993         0.9999465341746117        0.0047483720561514176      0.0013762981405228691     
Lambda        AB|SDSS|SDSS_u            3122.91338002949      All      -3.972436496312263e-05     4.45982742663745e-05      0.00012762877435746315     3.3162143751293026e-05    
Lambda        AB|SDSS|SDSS_r            5365.9255599127455    All      0.00015040765027393694     8.059794123385648e-05     -0.00046254537625547315    -4.338059465377208e-05    
Lambda        AB|SDSS|SDSS_z            7736.426357919178     All      5.607879270970715e-06      1.2480858774276378e-06    1.8264127143577415e-05     -6.050840309032479e-07    
Lambda        AB|SDSS|SDSS_g            4106.4676060479       All      -0.0009414429444571694     0.00035684786234407845    -0.0014749175688729005     0.0003570772312265995     
Lambda        AB|SDSS|SDSS_i            6507.122609665731     All      -0.00023459644761667019    1.928696412405062e-05     1.6153674645956907e-05     8.341904402840943e-05     
MWEBV         All|All|All               All                   All      -0.6712717780527564        -3.3573499702624687       0.2654742281452571         -0.8630971410273004       
Redshift      All|All|All               All                   All      6.959708272315247          -1.136317901013939        1.3848260124541878         -2.5753436513429846       
