#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5268.118128993861     All      0.9419192662164945         0.35362033961714445       0.0413673093565492         -0.18978228182980547      
Zeropoint     AB|SDSS|SDSS_i            6388.514004678684     All      0.9235799629545635         0.025940207898322853      0.07903779065712713        -0.2888637061030014       
Zeropoint     AB|SDSS|SDSS_u            3065.990463139852     All      -0.07863299821071214       0.040764134311466194      0.13439998753906335        0.04488922827851141       
Zeropoint     AB|SDSS|SDSS_z            7595.410613643084     All      0.11023997688045443        0.0029615955776662872     0.0840049012744426         -0.031195345220908638     
Zeropoint     AB|SDSS|SDSS_g            4031.6169503288334    All      -0.9046313663504612        0.5771034838085498        -0.3315456154369456        0.467854430242394         
Check         All|All|All               All                   All      0.9924748414903392         1.0003897612131496        0.007264373390236667       0.002902325367189873      
Lambda        AB|SDSS|SDSS_r            5268.118128993861     All      0.0003140317401447441      8.368287287259815e-05     -0.00043210363265142407    -9.431500486820555e-05    
Lambda        AB|SDSS|SDSS_i            6388.514004678684     All      -0.00021308423579304524    -1.262554304515164e-05    -0.00010675270505814176    6.053210819378768e-05     
Lambda        AB|SDSS|SDSS_u            3065.990463139852     All      -7.971368144141477e-05     3.902043396566871e-05     0.0001177518302997653      4.39303309961405e-05      
Lambda        AB|SDSS|SDSS_z            7595.410613643084     All      -1.3276472514610484e-05    -2.597669274552745e-06    -4.312056698692374e-05     1.554164678452504e-06     
Lambda        AB|SDSS|SDSS_g            4031.6169503288334    All      -0.0008384888045358224     0.00032700211574465606    -0.0017488885429123005     0.00030159387293208253    
MWEBV         All|All|All               All                   All      -0.7225730054832176        -3.270567603386887        0.3199727508345629         -0.8156867527815421       
Redshift      All|All|All               All                   All      5.647783076685614          -0.42426420435273116      0.5539620718863214         -1.953144780843622        
