#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5268.118128993861     All      0.972523779353891         0.3867602943275372         0.25193619285352215        -0.17955968293336194      
Zeropoint     AB|SDSS|SDSS_i            6388.514004678684     All      0.8897214456082669        0.03564124037662708        0.10665543070003435        -0.27344247922662385      
Zeropoint     AB|SDSS|SDSS_u            3065.990463139852     All      -0.08826521783289538      0.04589835739867709        0.14954545848786993        0.05037501727830966       
Zeropoint     AB|SDSS|SDSS_z            7595.410613643084     All      0.08690482933044386       0.004294974402263563       0.0840439863974786         -0.023158250420757566     
Zeropoint     AB|SDSS|SDSS_g            4031.6169503288334    All      -0.8681719359911018       0.5277451069501282         -0.584514611684165         0.42861190265162846       
Check         All|All|All               All                   All      0.9927129004686046        1.0003399734552332         0.007666456754739981       0.0028265073491947623     
Lambda        AB|SDSS|SDSS_r            5268.118128993861     All      0.0003031291686197127     0.00010810127898650688     -1.9170360307617998e-05    -6.438248501477183e-05    
Lambda        AB|SDSS|SDSS_i            6388.514004678684     All      -0.0002593642995842917    -2.0032563545060247e-05    -0.00017749684964283208    7.003735102220308e-05     
Lambda        AB|SDSS|SDSS_u            3065.990463139852     All      -7.664934124300312e-05    4.1262378727506955e-05     0.00014170750534054098     4.473148149907629e-05     
Lambda        AB|SDSS|SDSS_z            7595.410613643084     All      -8.054326560111505e-06    1.6600453672333773e-07     -7.395697248544353e-07     2.6446286789999297e-06    
Lambda        AB|SDSS|SDSS_g            4031.6169503288334    All      -0.0007276644443786022    0.0002664664050171185      -0.0017063519071490343     0.0002476744749564505     
MWEBV         All|All|All               All                   All      -0.7501160371455984       -3.2551541504512116        0.3554070483587439         -0.8001131425669269       
Redshift      All|All|All               All                   All      5.46722630529042          -0.32112861468096554       -1.4709849097977523        -1.9511009291901231       
