#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3398.128057212714    All      -0.19643591138762787       0.1410961671815869         0.11386086081537111        0.11502638973971356       
Zeropoint     AB|SDSS|SDSS_i            7080.579324752047    All      0.60931387702851           -0.021727976385577108      0.3311226212387954         -0.1907746105225968       
Zeropoint     AB|SDSS|SDSS_z            8418.218589577686    All      0.22362891818379857        -0.020826658959549604      0.10471875720899776        -0.07495410664681286      
Zeropoint     AB|SDSS|SDSS_r            5838.811385118263    All      0.9590276739891739         0.23186170715030485        -0.32656179124303625       -0.2514348313482622       
Zeropoint     AB|SDSS|SDSS_g            4468.360498687519    All      -0.6015199346043373        0.6702747470656689         -0.21819419803369822       0.4045283636936123        
Check         All|All|All               All                  All      0.9940146232095172         1.000677986052434          0.00494624998642984        0.002391204915653977      
Lambda        AB|SDSS|SDSS_u            3398.128057212714    All      -0.00016530998614789477    9.268677386771339e-05      6.555608131959108e-05      8.696349939947627e-05     
Lambda        AB|SDSS|SDSS_i            7080.579324752047    All      -0.000412914568388768      -4.998705387120418e-05     -0.001119796057308646      6.824607643852745e-05     
Lambda        AB|SDSS|SDSS_z            8418.218589577686    All      2.2224416990050016e-05     -3.1434040616264872e-06    2.0516928185241374e-06     -8.171576265647785e-06    
Lambda        AB|SDSS|SDSS_r            5838.811385118263    All      -0.0003428045560718335     -4.433212908722864e-05     -0.00024001090365305416    8.651170462023988e-05     
Lambda        AB|SDSS|SDSS_g            4468.360498687519    All      -0.0003359301403392473     0.00010023316396166055     -0.0011230488679400779     9.195622455801864e-05     
MWEBV         All|All|All               All                  All      -0.8735649716865614        -3.726411560532128         0.1503731752187013         -0.9225555256809786       
Redshift      All|All|All               All                  All      7.307268920578797          0.1937109652558            5.139072978495829          -2.08778663103227         
