#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                6625.9392789794765    All      1.2933320043357108         0.6597792113961276        5.5094761273703385        0.03949362752773723       
Zeropoint     AB|PS|PS_g                4307.696921909357     All      -0.5841217145455382        0.9882937795751445        1.6546909626695694        0.5860287153115354        
Zeropoint     AB|PS|PS_r                5470.482658870079     All      -0.20259112114679767       -0.43029488192818377      -6.16720641245041         -0.34938470335084437      
Zeropoint     AB|PS|PS_z                7614.821005955183     All      0.4904843150479804         -0.21890478883506148      -0.9594735968276868       -0.2738882692665912       
Check         All|All|All               All                   All      0.9971034836913553         0.9988733202080269        0.037487080761811065      0.002249370221837077      
Lambda        AB|PS|PS_i                6625.9392789794765    All      -0.00020492792768518218    -0.0002518764162352736    -0.0016451465125809992    -8.870800025201577e-05    
Lambda        AB|PS|PS_g                4307.696921909357     All      -0.0001786280379545598     6.235932210576864e-05     -0.001278467361501533     2.144538486469655e-05     
Lambda        AB|PS|PS_r                5470.482658870079     All      -0.00011625277056566126    7.354025841371406e-05     -0.0013454280007865293    1.7815611959676767e-06    
Lambda        AB|PS|PS_z                7614.821005955183     All      3.0188985399356056e-05     0.00013810375052296237    0.0007689844365231795     6.946763287533614e-05     
MWEBV         All|All|All               All                   All      -0.5430948635503148        -3.5533056675987496       -0.17589653980119024      -0.9883741465801947       
Redshift      All|All|All               All                   All      2.920851140918402          3.609460775527751         17.199084904194127        0.9918189793107313        
