#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                6625.9392789794765    All      1.371713555171151          0.5577497857789382         5.5973228064622615        -0.015351969025043256     
Zeropoint     AB|PS|PS_g                4307.696921909357     All      -0.5759588924399615        1.0848473905411993         2.7341445786582588        0.6629915603444112        
Zeropoint     AB|PS|PS_r                5470.482658870079     All      -0.290890291568892         -0.4464115238487665        -7.582634075651469        -0.38903651486779345      
Zeropoint     AB|PS|PS_z                7614.821005955183     All      0.4953720043319171         -0.19671618019909687       -0.7189335109659242       -0.25751859137893995      
Check         All|All|All               All                   All      1.0002363754942145         0.9994694722722741         0.029899798503127406      0.001084485072634589      
Lambda        AB|PS|PS_i                6625.9392789794765    All      -0.00034019637206838095    -0.00024552225098153853    -0.0018558273073690516    -5.197857329730219e-05    
Lambda        AB|PS|PS_g                4307.696921909357     All      -0.00020679111776471975    0.00014367867155978128     -0.0010043347377050253    6.934069389541126e-05     
Lambda        AB|PS|PS_r                5470.482658870079     All      -8.833800318932487e-05     -2.3834728565280835e-05    -0.0016147426636196054    -5.104771019278239e-05    
Lambda        AB|PS|PS_z                7614.821005955183     All      -3.593330392679414e-05     0.00013316921389064135     0.0006346593232106221     8.340418407077874e-05     
MWEBV         All|All|All               All                   All      -0.5604258846389629        -3.5498044977561705        -0.1656752585878377       -0.9811322877992643       
Redshift      All|All|All               All                   All      3.920520913220222          1.8540706677153906         6.891798749490762         -0.3655615038516602       
