#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                4862.083185593873     All      -0.23630046856703002       0.8423550455319173        1.7953734610197696         0.43147285936764035       
Zeropoint     AB|PS|PS_i                5889.035751691104     All      0.8710513148111195         -0.16942767303849138      -5.518355911135752         -0.5851771165065828       
Zeropoint     AB|PS|PS_g                3828.6166100334563    All      -0.667751666728686         0.35760308958323606       0.008657343878679113       0.33437811479586355       
Zeropoint     AB|PS|PS_z                6767.939043610634     All      1.0212772880888754         -0.021252302438057313     3.7221617444830297         -0.173483202453667        
Check         All|All|All               All                   All      0.988276467604279          1.0092781596386047        0.007836638245726224       0.007190655203254126      
Lambda        AB|PS|PS_r                4862.083185593873     All      -0.00013367282022769137    0.00013528395174974194    -0.0009297000205299472     4.6119827089521346e-05    
Lambda        AB|PS|PS_i                5889.035751691104     All      -0.0001930818757030487     0.00016553948838320224    0.000978767548997533       0.00016049267697032998    
Lambda        AB|PS|PS_g                3828.6166100334563    All      -0.0011336677478386147     0.0005062717902679776     -0.00017879108150323965    0.0005262036351598204     
Lambda        AB|PS|PS_z                6767.939043610634     All      -0.0010315026417969382     6.0241664176764986e-05    -0.003380625628971372      0.00020475524260736984    
MWEBV         All|All|All               All                   All      -0.4592513319214504        -2.9675782301385567       0.1151635718718097         -0.8119053709676444       
Redshift      All|All|All               All                   All      8.810151934722047          -0.9586728446439707       24.252031799591638         -2.0997708217661115       
